Frequencia,Amplitud
0.007877568,5466.689
0.015755136,726.56827
0.023632704,3915.4715
0.031510272,334.52465
0.03938784,3411.2298
0.047265408,217.23024
0.055142976,5261.0371
0.063020544,423.63718
0.070898112,2862.3669
0.07877568,265.59856
0.086653248,1142.5428
0.094530816,650.04004
0.10240838,5221.3133
0.11028595,454.09981
0.11816352,2177.3146
0.12604109,1608.1388
0.13391866,4433.7814
0.14179622,301.14138
0.14967379,745.30597
0.15755136,399.86924
0.16542893,0.20210528
0.1733065,2819.9392
0.18118406,5407.0948
0.18906163,1017.3104
0.1969392,1298.9821
0.20481677,1966.7042
0.21269434,1540.9451
0.2205719,646.48392
0.22844947,3191.8241
0.23632704,752.22079
0.24420461,482.48256
0.25208218,3265.5501
0.25995974,7412.129
0.26783731,1483.9583
0.27571488,1766.1091
0.28359245,115.94746
0.29147001,1702.1818
0.29934758,3604.911
0.30722515,4834.3933
0.31510272,1850.1422
0.32298029,3758.5988
0.33085785,890.03033
0.33873542,281.42396
0.34661299,2438.515
0.35449056,2916.8101
0.36236813,4948.254
0.37024569,5185.5624
0.37812326,1042.6782
0.38600083,5167.9416
0.3938784,2597.1754
0.40175597,368.26507
0.40963353,676.44067
0.4175111,3628.7234
0.42538867,413.28327
0.43326624,5604.5412
0.44114381,2935.4449
0.44902137,8005.668
0.45689894,2076.8242
0.46477651,3227.5949
0.47265408,2262.2288
0.48053165,6275.3729
0.48840921,946.28886
0.49628678,4022.5173
0.50416435,302.80933
0.51204192,1964.4381
0.51991949,1181.6244
0.52779705,943.49296
0.53567462,7525.0586
0.54355219,5203.111
0.55142976,988.0951
0.55930733,5480.6758
0.56718489,1168.7384
0.57506246,4526.8185
0.58294003,34.800615
0.5908176,858.92058
0.59869517,214.44424
0.60657273,438.75305
0.6144503,2428.2764
0.62232787,123.58019
0.63020544,1280.0964
0.63808301,131.62319
0.64596057,894.10092
0.65383814,395.29477
0.66171571,437.2189
0.66959328,542.43489
0.67747085,599.29559
0.68534841,925.02412
0.69322598,1040.3172
0.70110355,1996.5779
0.70898112,1042.0634
0.71685869,395.83992
0.72473625,1516.3346
0.73261382,932.68445
0.74049139,204.1396
0.74836896,453.00776
0.75624653,320.82584
0.76412409,1014.8107
0.77200166,490.2435
0.77987923,7487.5216
0.7877568,1182.9043
0.79563437,152.92843
0.80351193,236.32071
0.8113895,1593.3318
0.81926707,320.22635
0.82714464,516.99591
0.83502221,306.76183
0.84289977,1658.8961
0.85077734,3236.4962
0.85865491,2268.644
0.86653248,214.76246
0.87441004,1153.3016
0.88228761,214.32072
0.89016518,831.01068
0.89804275,0.11057663
0.90592032,2631.8062
0.91379788,849.1401
0.92167545,182.93735
0.92955302,174.70455
0.93743059,1743.7215
0.94530816,2545.1229
0.95318572,1056.9851
0.96106329,129.7652
0.96894086,366.31408
0.97681843,1650.9811
0.984696,2871.5295
0.99257356,144.94753
1.0004511,241.04468
1.0083287,1196.316
1.0162063,3980.5607
1.0240838,431.09639
1.0319614,680.38603
1.039839,1112.5657
1.0477165,1272.5303
1.0555941,86.975245
1.0634717,42.809089
1.0713492,501.17537
1.0792268,1786.5418
1.0871044,33.876835
1.0949819,1777.5981
1.1028595,1764.454
1.1107371,1186.4104
1.1186147,2406.0981
1.1264922,153.89939
1.1343698,1400.1906
1.1422474,223.02888
1.1501249,455.70962
1.1580025,1208.4838
1.1658801,1412.4476
1.1737576,413.83132
1.1816352,499.86314
1.1895128,81.495939
1.1973903,670.93529
1.2052679,1127.9469
1.2131455,351.46452
1.221023,454.57321
1.2289006,2126.4165
1.2367782,699.06072
1.2446557,1618.0417
1.2525333,1199.1216
1.2604109,368.35774
1.2682884,719.64645
1.276166,84.282597
1.2840436,1129.3953
1.2919211,189.31475
1.2997987,2394.5596
1.3076763,91.273641
1.3155539,1820.9143
1.3234314,77.449894
1.331309,637.98917
1.3391866,769.76409
1.3470641,600.72366
1.3549417,1072.0736
1.3628193,855.18959
1.3706968,2.4378977
1.3785744,247.76984
1.386452,831.52787
1.3943295,203.41717
1.4022071,81.086411
1.4100847,2.6496284
1.4179622,204.15854
1.4258398,235.70548
1.4337174,232.24591
1.4415949,269.68198
1.4494725,1960.3788
1.4573501,12.373698
1.4652276,1170.4142
1.4731052,411.99883
1.4809828,95.238754
1.4888603,240.35588
1.4967379,695.36583
1.5046155,1241.8743
1.5124931,467.82736
1.5203706,1492.3684
1.5282482,3203.7068
1.5361258,1831.7762
1.5440033,1025.8632
1.5518809,747.85441
1.5597585,359.70684
1.567636,35.492406
1.5755136,51.176859
1.5833912,837.63882
1.5912687,1114.2405
1.5991463,1168.3073
1.6070239,582.21663
1.6149014,366.15645
1.622779,350.02324
1.6306566,94.264027
1.6385341,41.162949
1.6464117,654.43741
1.6542893,692.11495
1.6621668,1627.5889
1.6700444,1558.5822
1.677922,521.42574
1.6857995,290.74288
1.6936771,688.66853
1.7015547,20.63132
1.7094323,1446.5399
1.7173098,2415.4593
1.7251874,229.60343
1.733065,100.73943
1.7409425,404.05096
1.7488201,436.04049
1.7566977,59.645356
1.7645752,5.6883128
1.7724528,543.92967
1.7803304,496.90583
1.7882079,919.59
1.7960855,1146.9371
1.8039631,274.46708
