Frequencia,Amplitud
0.007877568,2836.2197
0.015755136,4910.6998
0.023632704,785.69828
0.031510272,2359.8553
0.03938784,37.595117
0.047265408,230.66991
0.055142976,255.38354
0.063020544,258.67534
0.070898112,673.57005
0.07877568,524.8658
0.086653248,723.3178
0.094530816,2646.3303
0.10240838,1833.4611
0.11028595,2154.9035
0.11816352,3691.7401
0.12604109,1184.8364
0.13391866,1068.7033
0.14179622,225.54392
0.14967379,382.9653
0.15755136,1113.1573
0.16542893,961.42934
0.1733065,1278.7171
0.18118406,1896.9803
0.18906163,3060.35
0.1969392,1468.3971
0.20481677,3144.2161
0.21269434,3785.5686
0.2205719,4467.7805
0.22844947,1426.2416
0.23632704,2443.8345
0.24420461,11.198751
0.25208218,1917.1067
0.25995974,4416.939
0.26783731,2217.9854
0.27571488,1279.9539
0.28359245,3225.2241
0.29147001,2929.1452
0.29934758,2603.4372
0.30722515,1756.8178
0.31510272,5862.6459
0.32298029,10694.589
0.33085785,2285.0897
0.33873542,4379.0105
0.34661299,734.67072
0.35449056,2956.8344
0.36236813,1094.1113
0.37024569,2822.1165
0.37812326,4509.7799
0.38600083,401.73672
0.3938784,32.394556
0.40175597,10002.656
0.40963353,2965.9405
0.4175111,1082.3686
0.42538867,4502.7223
0.43326624,3117.6224
0.44114381,899.95785
0.44902137,3652.5921
0.45689894,10492.941
0.46477651,619.59149
0.47265408,918.62873
0.48053165,2131.5491
0.48840921,9695.9633
0.49628678,6484.849
0.50416435,1644.3698
0.51204192,4440.3261
0.51991949,4435.0965
0.52779705,3091.6471
0.53567462,5245.2879
0.54355219,661.57327
0.55142976,4409.2759
0.55930733,5592.585
0.56718489,4692.2149
0.57506246,4851.6476
0.58294003,3800.1546
0.5908176,3282.126
0.59869517,2082.1581
0.60657273,3047.2394
0.6144503,220.38271
0.62232787,1707.4513
0.63020544,808.48429
0.63808301,1973.1651
0.64596057,528.51569
0.65383814,872.20644
0.66171571,697.05692
0.66959328,1134.1984
0.67747085,514.79519
0.68534841,56.452485
0.69322598,1554.8254
0.70110355,1169.141
0.70898112,557.40658
0.71685869,1986.8161
0.72473625,1113.7417
0.73261382,493.49385
0.74049139,858.23977
0.74836896,920.00326
0.75624653,1031.4282
0.76412409,663.94797
0.77200166,951.5183
0.77987923,854.72519
0.7877568,1336.9264
0.79563437,5011.0781
0.80351193,973.07051
0.8113895,768.27004
0.81926707,834.90295
0.82714464,797.16345
0.83502221,4091.1007
0.84289977,683.49849
0.85077734,528.43963
0.85865491,308.92151
0.86653248,403.78059
0.87441004,1580.3141
0.88228761,569.85691
0.89016518,1284.4343
0.89804275,724.6504
0.90592032,201.89579
0.91379788,528.29281
0.92167545,656.35692
0.92955302,2085.2258
0.93743059,758.87979
0.94530816,393.25576
0.95318572,3999.9715
0.96106329,1825.7183
0.96894086,272.64001
0.97681843,2446.0483
0.984696,3029.0161
0.99257356,739.78839
1.0004511,2013.008
1.0083287,95.104043
1.0162063,966.80372
1.0240838,1747.5376
1.0319614,1455.4852
1.039839,1873.2644
1.0477165,2803.5169
1.0555941,3617.1489
1.0634717,696.86973
1.0713492,2538.1683
1.0792268,2740.5194
1.0871044,877.43252
1.0949819,395.48175
1.1028595,1183.6427
1.1107371,1527.3061
1.1186147,2879.1363
1.1264922,2102.6604
1.1343698,986.27257
1.1422474,1549.8302
1.1501249,500.21607
1.1580025,1076.5076
1.1658801,151.79791
1.1737576,1123.2734
1.1816352,1082.9721
1.1895128,95.773644
1.1973903,1107.2567
1.2052679,3245.0308
1.2131455,1146.9122
1.221023,1033.6841
1.2289006,2988.2873
1.2367782,204.05524
1.2446557,132.3811
1.2525333,862.06978
1.2604109,3490.5993
1.2682884,3976.303
1.276166,167.5844
1.2840436,1503.644
1.2919211,947.42926
1.2997987,2465.724
1.3076763,650.01408
1.3155539,96.32704
1.3234314,505.48121
1.331309,1322.5561
1.3391866,304.1186
1.3470641,1793.2501
1.3549417,4887.404
1.3628193,426.56932
1.3706968,1047.4081
1.3785744,248.74912
1.386452,1642.4912
1.3943295,219.89032
1.4022071,1262.1199
1.4100847,1254.4214
1.4179622,2803.9823
1.4258398,1314.9664
1.4337174,2329.3399
1.4415949,677.63967
1.4494725,9933.4764
1.4573501,2459.848
1.4652276,185.81586
1.4731052,1052.1279
1.4809828,48.904298
1.4888603,479.08859
1.4967379,455.7688
1.5046155,719.61453
1.5124931,274.04367
1.5203706,343.64039
1.5282482,1320.2731
1.5361258,143.44018
1.5440033,914.52925
1.5518809,1062.8451
1.5597585,87.430238
1.567636,862.69421
1.5755136,2726.7403
1.5833912,1284.047
1.5912687,1473.8927
1.5991463,1253.5547
1.6070239,362.36861
1.6149014,1236.5052
1.622779,1120.238
1.6306566,114.88852
1.6385341,482.32281
1.6464117,2284.9709
1.6542893,258.22159
1.6621668,1213.3296
1.6700444,624.54587
1.677922,4000.5102
1.6857995,1332.8728
1.6936771,368.55932
1.7015547,4304.5765
1.7094323,726.56124
1.7173098,2748.0887
1.7251874,627.44426
1.733065,13.720617
1.7409425,312.57681
1.7488201,62.49214
1.7566977,2912.9432
1.7645752,185.50211
1.7724528,2352.1153
1.7803304,639.32859
1.7882079,3146.4522
1.7960855,792.0744
1.8039631,2445.8081
1.8118406,148.55277
1.8197182,1160.2986
1.8275958,676.26045
1.8354733,66.464833
1.8433509,531.38118
1.8512285,11.185478
1.859106,835.36613
1.8669836,207.71119
1.8748612,1106.5057
1.8827387,35.218922
1.8906163,300.92951
1.8984939,410.03442
1.9063714,3759.3385
1.914249,418.20627
1.9221266,452.98599
1.9300042,21.001097
1.9378817,131.73117
1.9457593,1895.493
1.9536369,770.89297
1.9615144,771.38268
1.969392,365.90922
1.9772696,447.29732
1.9851471,1439.6445
1.9930247,2787.4174
2.0009023,1059.8411
2.0087798,1698.0297
2.0166574,684.24865
2.024535,439.58981
2.0324125,1933.5111
2.0402901,1460.9576
2.0481677,211.54207
2.0560452,0.021996572
2.0639228,3065.698
2.0718004,28.588076
2.0796779,589.48176
2.0875555,1401.6441
2.0954331,1415.1181
2.1033106,47.687979
2.1111882,553.40116
2.1190658,159.34104
2.1269434,206.43025
2.1348209,197.30345
2.1426985,276.00922
2.1505761,440.24037
2.1584536,198.05234
2.1663312,5142.0836
2.1742088,218.22948
2.1820863,895.57624
2.1899639,29.319804
2.1978415,266.90001
2.205719,868.49679
2.2135966,55.860713
2.2214742,170.77578
2.2293517,905.17673
2.2372293,904.51418
2.2451069,754.60018
2.2529844,623.6203
2.260862,309.98469
2.2687396,555.18676
2.2766171,837.91602
2.2844947,1010.9749
2.2923723,2508.3304
2.3002498,835.10283
2.3081274,1297.9129
2.316005,76.999963
2.3238826,1675.0974
2.3317601,917.5854
2.3396377,634.99799
2.3475153,3700.8296
2.3553928,136.30585
2.3632704,865.90015
2.371148,733.10235
2.3790255,1125.1871
2.3869031,1178.4073
2.3947807,1735.4695
2.4026582,59.172762
2.4105358,1195.3621
2.4184134,400.38207
2.4262909,1029.8641
2.4341685,96.344936
2.4420461,28.231879
2.4499236,1864.2471
2.4578012,1304.9326
2.4656788,3.8249674
2.4735563,1354.4216
2.4814339,2752.4109
2.4893115,4766.1897
2.497189,407.60138
2.5050666,700.34804
2.5129442,343.24487
2.5208218,847.0518
2.5286993,632.15528
2.5365769,807.08611
2.5444545,520.04617
2.552332,1587.4454
2.5602096,596.34749
