Frequencia,Amplitud
0.0,1.7824314e-24
0.0080585302,1064.0321
0.01611706,3793.8723
0.024175591,2175.8621
0.032234121,1232.0513
0.040292651,403.20414
0.048351181,656.93417
0.056409711,210.50103
0.064468242,4366.7193
0.072526772,295.24725
0.080585302,201.87138
0.088643832,502.90031
0.096702362,4371.2774
0.10476089,2823.7668
0.11281942,73.891209
0.12087795,2858.1684
0.12893648,456.69586
0.13699501,604.64865
0.14505354,5522.6246
0.15311207,509.74709
0.1611706,4824.4591
0.16922913,195.5123
0.17728766,18.033105
0.18534619,2033.3433
0.19340472,523.91278
0.20146326,1026.4261
0.20952179,1222.0582
0.21758032,1063.4665
0.22563885,1230.6
0.23369738,2853.0955
0.24175591,7985.1389
0.24981444,1270.8535
0.25787297,29.271953
0.2659315,2706.3984
0.27399003,113.14768
0.28204856,4144.0674
0.29010709,1691.2713
0.29816562,418.60492
0.30622415,1048.7017
0.31428268,132.5048
0.32234121,1214.2792
0.33039974,3547.6558
0.33845827,355.00979
0.3465168,670.84876
0.35457533,4702.1682
0.36263386,4519.4394
0.37069239,8333.305
0.37875092,999.4448
0.38680945,3000.5793
0.39486798,62.693924
0.40292651,6784.0216
0.41098504,1984.7299
0.41904357,2438.4826
0.4271021,3565.1347
0.43516063,9932.0837
0.44321916,5223.4331
0.45127769,1086.1746
0.45933622,11302.154
0.46739475,1845.0824
0.47545328,4710.0152
0.48351181,12305.058
0.49157034,1369.6329
0.49962887,1425.2562
0.5076874,1430.4282
0.51574593,4737.0341
0.52380446,9786.5583
0.53186299,22232.739
0.53992152,2647.8223
0.54798005,6536.7701
0.55603858,3320.8128
0.56409711,619.73459
0.57215564,7185.3611
0.58021417,9644.4529
0.5882727,2349.3713
0.59633123,3681.4421
0.60438977,590.05208
0.6124483,5488.8235
0.62050683,6067.2864
0.62856536,2293.4791
0.63662389,1253.1747
0.64468242,5295.6705
0.65274095,4732.095
0.66079948,6666.1846
0.66885801,437.9174
0.67691654,498.70739
0.68497507,303.56436
0.6930336,200.99799
0.70109213,637.46847
0.70915066,1906.1901
0.71720919,1018.9165
0.72526772,2523.926
0.73332625,434.43158
0.74138478,5205.2995
0.74944331,8120.2772
0.75750184,567.851
0.76556037,357.06904
0.7736189,1951.4327
0.78167743,401.16948
0.78973596,3067.3589
0.79779449,3679.4369
0.80585302,1236.6218
0.81391155,1107.3194
0.82197008,14768.659
0.83002861,2000.5362
0.83808714,1532.0214
0.84614567,833.06843
0.8542042,987.92649
0.86226273,1378.1363
0.87032126,431.62346
0.87837979,1505.7377
0.88643832,1803.9838
0.89449685,4315.5604
0.90255538,5715.0181
0.91061391,1246.6489
0.91867244,291.9845
0.92673097,1128.0731
0.9347895,799.74074
0.94284803,5969.03
0.95090656,378.46186
0.95896509,776.40976
0.96702362,1668.1837
0.97508215,2295.4575
0.98314068,1576.3655
0.99119921,2526.1581
0.99925774,1090.9164
1.0073163,1023.159
1.0153748,2440.2139
1.0234333,362.73586
1.0314919,523.42169
1.0395504,278.72081
1.0476089,685.8408
1.0556675,842.42512
1.063726,479.65001
1.0717845,165.24033
1.079843,4006.3994
1.0879016,2199.8343
1.0959601,2319.9529
1.1040186,199.58815
1.1120772,1957.6551
1.1201357,5181.3823
1.1281942,3943.9281
1.1362528,2704.7257
1.1443113,3266.8574
1.1523698,5.5139836
1.1604283,1864.4595
1.1684869,1459.0141
1.1765454,344.11247
1.1846039,1062.7687
1.1926625,169.85711
1.200721,537.08856
1.2087795,578.14682
1.2168381,6068.1261
1.2248966,885.93426
1.2329551,660.17882
1.2410137,4070.2644
1.2490722,1973.3674
1.2571307,3358.4698
1.2651892,2204.045
1.2732478,116.44159
1.2813063,431.59457
1.2893648,73.840316
1.2974234,481.11917
1.3054819,1752.5456
1.3135404,5876.7397
1.321599,3333.6198
1.3296575,47.265168
1.337716,3205.3374
1.3457745,10435.817
1.3538331,2719.0897
1.3618916,2341.2847
1.3699501,7988.4498
1.3780087,1417.8605
1.3860672,3726.4617
1.3941257,438.25779
1.4021843,1336.2402
1.4102428,1178.1408
1.4183013,6977.643
1.4263598,2609.4981
1.4344184,2964.0279
1.4424769,122.32533
1.4505354,821.15529
1.458594,2983.3273
1.4666525,521.32073
1.474711,6886.2034
1.4827696,1784.4677
1.4908281,1894.9094
1.4988866,4020.3088
1.5069451,387.33891
1.5150037,3617.5578
1.5230622,756.58798
1.5311207,1990.91
1.5391793,886.8588
1.5472378,1098.3473
1.5552963,2317.6259
1.5633549,1681.6386
1.5714134,386.47578
1.5794719,3954.7647
1.5875304,108.29731
1.595589,310.07108
1.6036475,1019.8162
1.611706,3154.8093
1.6197646,422.35869
1.6278231,1122.8225
1.6358816,350.69429
1.6439402,1739.6228
1.6519987,400.90632
1.6600572,3525.1802
1.6681158,1858.0674
1.6761743,2443.6739
1.6842328,159.16302
1.6922913,7211.0392
1.7003499,1068.222
1.7084084,3533.3495
1.7164669,1877.883
1.7245255,1479.1509
1.732584,101.20273
1.7406425,804.37161
1.7487011,1028.1458
1.7567596,857.06385
1.7648181,1735.8539
1.7728766,6527.9985
1.7809352,3914.2482
1.7889937,898.72491
1.7970522,1376.915
1.8051108,5630.2811
1.8131693,1382.8579
1.8212278,84.529998
1.8292864,319.72791
1.8373449,2466.133
1.8454034,4397.1544
1.8534619,115.22086
1.8615205,509.84346
1.869579,398.76156
1.8776375,1421.6475
1.8856961,3264.755
1.8937546,2409.1343
1.9018131,1527.0603
1.9098717,1008.4845
1.9179302,9125.4137
1.9259887,1771.8282
1.9340472,1544.136
1.9421058,1219.2392
1.9501643,3238.8761
1.9582228,1410.525
1.9662814,711.28861
1.9743399,384.52371
1.9823984,812.13641
1.990457,423.89447
1.9985155,562.94992
2.006574,1948.2986
2.0146326,1822.9587
2.0226911,876.56662
2.0307496,3813.9344
2.0388081,3772.1243
2.0468667,2231.9994
2.0549252,5219.5867
2.0629837,3177.3906
2.0710423,1452.7866
2.0791008,1633.009
2.0871593,977.10172
2.0952179,9630.5032
2.1032764,1310.3222
2.1113349,491.8865
2.1193934,1236.8745
2.127452,414.64125
2.1355105,1229.688
2.143569,3924.8015
2.1516276,83.093595
2.1596861,3092.5992
2.1677446,4720.9698
2.1758032,148.76903
2.1838617,560.00313
2.1919202,846.88347
2.1999787,1105.3795
2.2080373,1320.045
2.2160958,3968.2019
2.2241543,2247.24
2.2322129,995.03926
2.2402714,1230.9879
2.2483299,1795.4937
2.2563885,2235.2802
2.264447,6181.1521
2.2725055,10.877344
2.280564,2688.3161
2.2886226,1547.0041
2.2966811,415.10637
2.3047396,7351.3895
2.3127982,4997.3837
2.3208567,321.89469
2.3289152,893.79523
2.3369738,3461.1597
2.3450323,4050.4422
2.3530908,1424.494
2.3611493,5990.695
2.3692079,5150.5927
2.3772664,355.32981
2.3853249,680.94767
2.3933835,219.91679
2.401442,1088.0174
2.4095005,6894.0408
2.4175591,4988.5379
2.4256176,1498.7229
2.4336761,200.36977
2.4417347,875.22264
2.4497932,2090.3009
2.4578517,2462.5095
2.4659102,5842.2942
2.4739688,617.14858
2.4820273,1171.61
2.4900858,946.56557
2.4981444,511.33335
2.5062029,76.751489
2.5142614,12.593168
2.52232,4206.0247
2.5303785,2851.5347
2.538437,882.45266
2.5464955,1856.4594
2.5545541,189.65247
2.5626126,1428.2861
2.5706711,724.27768
2.5787297,133.81085
2.5867882,508.39228
2.5948467,3130.035
2.6029053,12184.296
2.6109638,138.33223
2.6190223,1149.2359
2.6270808,504.43156
2.6351394,1899.3984
2.6431979,439.59887
2.6512564,1602.3461
2.659315,567.99607
2.6673735,787.86879
2.675432,2884.1025
2.6834906,324.54283
2.6915491,315.51131
2.6996076,1206.2903
2.7076661,2735.0901
2.7157247,499.28362
2.7237832,743.13896
2.7318417,489.78608
2.7399003,1061.8064
2.7479588,2025.0525
2.7560173,1112.3392
2.7640759,863.72454
2.7721344,758.18808
2.7801929,1356.1097
2.7882514,2282.2387
2.79631,1487.2978
2.8043685,726.09496
2.812427,1634.7536
2.8204856,2245.9248
2.8285441,1380.9679
2.8366026,756.09317
2.8446612,69.416181
2.8527197,125.24818
2.8607782,1106.0998
2.8688368,3807.1926
2.8768953,384.08016
2.8849538,4139.2589
2.8930123,902.69495
2.9010709,672.32503
2.9091294,283.24686
2.9171879,275.37949
2.9252465,210.29648
2.933305,302.27312
2.9413635,1765.5499
2.9494221,3249.6717
2.9574806,93.328031
2.9655391,4115.7621
2.9735976,4094.7726
2.9816562,546.6598
2.9897147,331.08567
2.9977732,389.87917
3.0058318,5977.971
3.0138903,496.35493
3.0219488,381.97208
3.0300074,3092.9984
3.0380659,3984.8716
3.0461244,895.23517
3.0541829,1124.7669
3.0622415,581.07057
3.0703,1411.2695
3.0783585,1372.8118
3.0864171,781.61243
3.0944756,1932.7337
3.1025341,489.5744
3.1105927,298.70778
3.1186512,1733.2883
3.1267097,469.92876
3.1347682,76.466608
3.1428268,2535.337
3.1508853,1808.2632
3.1589438,50.893187
3.1670024,552.37265
3.1750609,1764.0613
3.1831194,1471.237
3.191178,118.34293
3.1992365,1112.0807
3.207295,3829.4493
3.2153536,1340.5819
3.2234121,18.966901
3.2314706,4254.6615
3.2395291,151.6781
3.2475877,1826.4864
3.2556462,737.55586
3.2637047,2257.773
3.2717633,21.064258
3.2798218,429.44939
3.2878803,1909.1688
3.2959389,2195.4737
3.3039974,1350.703
3.3120559,284.87123
3.3201144,5224.7342
3.328173,3758.645
3.3362315,1805.5296
3.34429,129.9958
3.3523486,2606.4595
3.3604071,290.98621
3.3684656,902.33832
3.3765242,869.05544
3.3845827,3158.1177
3.3926412,106.62554
3.4006997,6915.511
3.4087583,598.61405
3.4168168,767.55313
3.4248753,1325.6527
3.4329339,4319.6837
3.4409924,283.04167
3.4490509,714.47535
3.4571095,2667.8019
3.465168,498.67543
3.4732265,1130.9451
3.481285,3511.9793
3.4893436,1591.3469
3.4974021,280.09862
3.5054606,1020.6841
3.5135192,3647.4214
