Frequencia,Amplitud
0.007877568,215.79575
0.015755136,347.90054
0.023632704,3951.7099
0.031510272,3057.7886
0.03938784,196.0704
0.047265408,4341.3859
0.055142976,1867.9411
0.063020544,1897.6794
0.070898112,253.81196
0.07877568,2595.5651
0.086653248,2058.2526
0.094530816,846.09349
0.10240838,2764.8465
0.11028595,25.204665
0.11816352,1246.745
0.12604109,5567.9523
0.13391866,3332.4958
0.14179622,1870.4267
0.14967379,256.03703
0.15755136,3937.4153
0.16542893,1155.214
0.1733065,1078.3317
0.18118406,3837.0441
0.18906163,2134.831
0.1969392,4568.4153
0.20481677,1498.2123
0.21269434,7841.2866
0.2205719,1.3152176
0.22844947,83.874962
0.23632704,10169.69
0.24420461,5295.0777
0.25208218,14248.972
0.25995974,4560.5916
0.26783731,7559.3655
0.27571488,1535.2933
0.28359245,327.066
0.29147001,5136.4028
0.29934758,14151.859
0.30722515,16523.607
0.31510272,7194.1676
0.32298029,13705.029
0.33085785,3771.118
0.33873542,13673.219
0.34661299,5252.7524
0.35449056,5593.1404
0.36236813,10269.472
0.37024569,14444.689
0.37812326,7304.9979
0.38600083,18820.155
0.3938784,10541.337
0.40175597,26312.726
0.40963353,8217.6582
0.4175111,6350.2386
0.42538867,5202.1102
0.43326624,13470.153
0.44114381,13712.956
0.44902137,13261.784
0.45689894,220.67321
0.46477651,14478.202
0.47265408,3055.3878
0.48053165,81385.336
0.48840921,1602.2721
0.49628678,28998.414
0.50416435,12599.971
0.51204192,3911.1072
0.51991949,9932.548
0.52779705,5644.4037
0.53567462,5802.5642
0.54355219,11982.923
0.55142976,42426.467
0.55930733,20056.306
0.56718489,23085.26
0.57506246,6822.1646
0.58294003,22100.284
0.5908176,28002.181
0.59869517,18743.392
0.60657273,36264.633
0.6144503,30071.965
0.62232787,2911.0445
0.63020544,1678.2423
0.63808301,1963.553
0.64596057,9902.3518
0.65383814,8596.7583
0.66171571,43644.893
0.66959328,11037.763
0.67747085,50800.175
0.68534841,13289.183
0.69322598,16489.203
0.70110355,6075.328
0.70898112,19972.384
0.71685869,9182.5662
0.72473625,89.144733
0.73261382,4082.62
0.74049139,5240.142
0.74836896,73.265499
0.75624653,16853.003
0.76412409,46418.396
0.77200166,12808.589
0.77987923,2010.3092
0.7877568,8866.2862
0.79563437,7917.6566
0.80351193,3671.9708
0.8113895,5632.8129
0.81926707,30135.014
0.82714464,6878.8274
0.83502221,8419.1492
0.84289977,5602.1378
0.85077734,29422.678
0.85865491,16544.45
0.86653248,854.10068
0.87441004,21151.51
0.88228761,15532.732
0.89016518,6218.3723
0.89804275,3167.5334
0.90592032,9208.2445
0.91379788,7247.1796
0.92167545,10284.864
0.92955302,552.40799
0.93743059,34665.035
0.94530816,10509.717
0.95318572,5420.3453
0.96106329,2114.8955
0.96894086,795.02905
0.97681843,14956.95
0.984696,4773.3298
0.99257356,494.39462
1.0004511,10362.738
1.0083287,14630.741
1.0162063,3658.0106
1.0240838,2669.3734
1.0319614,3464.2185
1.039839,696.39797
1.0477165,13206.973
1.0555941,3852.2855
1.0634717,159.79256
1.0713492,1264.8847
1.0792268,8419.3452
1.0871044,759.42245
1.0949819,4797.7153
1.1028595,5817.6437
1.1107371,5139.5594
1.1186147,1224.4513
1.1264922,6388.0787
1.1343698,8596.6101
1.1422474,11739.551
1.1501249,5746.1633
1.1580025,217.45414
1.1658801,35.839153
1.1737576,976.86995
1.1816352,2914.7613
1.1895128,3150.03
1.1973903,1955.9556
1.2052679,2227.5565
1.2131455,6223.3471
1.221023,3511.0878
1.2289006,137.99856
1.2367782,11491.299
1.2446557,1474.4697
1.2525333,16190.103
1.2604109,13378.329
1.2682884,11283.868
1.276166,17515.703
1.2840436,6689.2256
1.2919211,2995.8283
1.2997987,6952.4291
1.3076763,5595.223
1.3155539,2850.065
1.3234314,649.17123
1.331309,4322.0507
1.3391866,7127.5273
1.3470641,38.81465
1.3549417,1869.6764
1.3628193,15421.199
1.3706968,23654.455
1.3785744,1417.6335
1.386452,198.70292
1.3943295,10628.652
1.4022071,2281.1164
1.4100847,7039.4599
1.4179622,5686.7986
1.4258398,171.2907
1.4337174,1694.8838
1.4415949,8298.0957
1.4494725,8903.4382
1.4573501,14640.787
1.4652276,15650.184
1.4731052,7118.1075
1.4809828,223.07814
1.4888603,5810.3595
1.4967379,4519.1716
1.5046155,5959.5041
1.5124931,6509.3474
1.5203706,1759.2561
1.5282482,476.37303
1.5361258,26837.018
1.5440033,23099.263
1.5518809,6704.1928
1.5597585,12107.731
1.567636,12260.543
1.5755136,3443.1332
1.5833912,2011.9203
1.5912687,2608.8517
1.5991463,18319.075
1.6070239,18008.543
1.6149014,1982.4817
1.622779,1812.5537
1.6306566,140.52697
1.6385341,13456.084
1.6464117,4676.168
1.6542893,3272.4225
1.6621668,2695.3378
1.6700444,1115.2954
1.677922,3119.9188
1.6857995,3121.5519
1.6936771,19207.565
1.7015547,183.61958
1.7094323,8085.9544
1.7173098,980.97186
1.7251874,4245.7687
1.733065,38943.564
1.7409425,3058.7425
1.7488201,15068.215
1.7566977,3466.218
1.7645752,3487.5073
1.7724528,1185.8227
1.7803304,6929.1294
1.7882079,3847.4934
1.7960855,228.55492
1.8039631,3051.7604
1.8118406,7194.1992
1.8197182,12877.865
1.8275958,4100.3264
1.8354733,3956.0352
1.8433509,646.07057
1.8512285,1673.4152
1.859106,7151.3204
1.8669836,13830.543
1.8748612,7792.5566
1.8827387,1467.3511
1.8906163,4322.0397
1.8984939,14353.633
1.9063714,16478.912
1.914249,17017.999
1.9221266,1934.8164
1.9300042,2689.2362
1.9378817,23077.264
1.9457593,2114.6231
1.9536369,871.94498
1.9615144,9730.3507
1.969392,9831.0918
1.9772696,2703.7371
1.9851471,12046.874
1.9930247,11509.094
2.0009023,1403.8354
2.0087798,697.78646
2.0166574,6468.3751
2.024535,462.58435
2.0324125,6501.6398
2.0402901,3782.1514
2.0481677,11782.043
2.0560452,752.14435
2.0639228,11238.815
2.0718004,9177.0772
2.0796779,4652.4093
2.0875555,1912.4723
2.0954331,9288.4774
2.1033106,4633.7207
2.1111882,5288.4954
2.1190658,10408.31
2.1269434,7740.8478
2.1348209,5252.5821
2.1426985,283.42935
2.1505761,20751.202
2.1584536,14385.298
2.1663312,219.97367
2.1742088,839.37946
2.1820863,145.79013
2.1899639,355.34317
2.1978415,1206.7784
2.205719,3944.003
2.2135966,658.33561
2.2214742,3589.5655
2.2293517,1640.845
2.2372293,1494.0728
2.2451069,5972.7565
2.2529844,615.91375
2.260862,97.84723
2.2687396,11154.936
2.2766171,8738.5846
2.2844947,227.40424
2.2923723,532.6527
2.3002498,3662.3659
2.3081274,5712.8557
2.316005,13187.76
2.3238826,6786.5285
2.3317601,5965.8439
2.3396377,3908.7032
2.3475153,3336.201
2.3553928,4780.9824
2.3632704,783.474
2.371148,269.17298
2.3790255,4550.6531
2.3869031,18513.899
2.3947807,11455.46
2.4026582,7964.6794
2.4105358,1435.8662
2.4184134,909.1253
2.4262909,7249.859
