Frequencia,Amplitud
1.55029297,-77.75828600
1.55105591,-77.76300800
1.55181885,-77.67658200
1.55258179,-77.65919500
1.55334473,-77.33017000
1.55410767,-77.26030000
1.55487061,-77.29744000
1.55563354,-77.61567700
1.55639648,-77.59385700
1.55715942,-77.30738100
1.55792236,-77.14228100
1.55868530,-77.22312900
1.55944824,-77.35953500
1.56021118,-77.22218300
1.56097412,-77.12366500
1.56173706,-77.24839800
1.56250000,-77.29485300
1.56326294,-77.15574600
1.56402588,-76.79125200
1.56478882,-76.75591300
1.56555176,-76.84932700
1.56631470,-76.85577400
1.56707764,-76.68844600
1.56784058,-76.77983900
1.56860352,-76.93257100
1.56936646,-76.80325300
1.57012939,-76.72510500
1.57089233,-76.76716600
1.57165527,-77.01254300
1.57241821,-76.93562300
1.57318115,-76.60044900
1.57394409,-76.47935500
1.57470703,-76.56333200
1.57546997,-76.46557600
1.57623291,-76.42923000
1.57699585,-76.46365400
1.57775879,-76.24986300
1.57852173,-76.31591000
1.57928467,-76.70839700
1.58004761,-76.54415900
1.58081055,-76.36983500
1.58157349,-76.17041800
1.58233643,-76.18577600
1.58309937,-75.94075000
1.58386230,-75.83732600
1.58462524,-75.63212600
1.58538818,-75.46711000
1.58615112,-75.39840700
1.58691406,-75.31665000
1.58767700,-75.38869500
1.58843994,-75.71048000
1.58920288,-75.67368300
1.58996582,-75.63982400
1.59072876,-75.64450800
1.59149170,-75.83974500
1.59225464,-75.60479000
1.59301758,-75.46103700
1.59378052,-75.50246400
1.59454346,-75.34731300
1.59530640,-75.57283000
1.59606934,-75.38103500
1.59683228,-75.13785600
1.59759521,-75.27738200
1.59835815,-75.11771400
1.59912109,-75.04551700
1.59988403,-75.13034800
1.60064697,-75.21827700
1.60140991,-75.08908800
1.60217285,-75.44613600
1.60293579,-75.37046100
1.60369873,-75.20884700
1.60446167,-75.31976300
1.60522461,-75.46623200
1.60598755,-75.56422400
1.60675049,-75.28446200
1.60751343,-74.97271700
1.60827637,-74.94384000
1.60903931,-74.87050600
1.60980225,-74.93359400
1.61056519,-74.92222600
1.61132812,-74.70242300
1.61209106,-75.04715700
1.61285400,-74.97615100
1.61361694,-74.97414400
1.61437988,-74.74198200
1.61514282,-74.99628400
1.61590576,-74.96970400
1.61666870,-75.00692000
1.61743164,-74.54134400
1.61819458,-74.51523600
1.61895752,-74.61452500
1.61972046,-74.37236000
1.62048340,-74.33178700
1.62124634,-74.46469900
1.62200928,-74.34017200
1.62277222,-74.32424200
1.62353516,-74.56672700
1.62429810,-74.52585600
1.62506104,-74.13466600
1.62582397,-74.22917900
1.62658691,-74.33443500
1.62734985,-73.97600600
1.62811279,-73.90815000
1.62887573,-74.43257100
