Pair,Delta (microHz)
150.934200-150.004650,0.929550
151.564410-150.004650,1.559760
152.107960-150.004650,2.103310
152.486080-150.004650,2.481430
152.879960-150.004650,2.875310
153.147800-150.004650,3.143150
154.085230-150.004650,4.080580
154.636660-150.004650,4.632010
155.219600-150.004650,5.214950
159.914630-150.004650,9.909980
160.103690-150.004650,10.099040
162.955370-150.004650,12.950720
162.994760-150.004650,12.990110
165.389540-150.004650,15.384890
168.682360-150.004650,18.677710
170.832940-150.004650,20.828290
171.281960-150.004650,21.277310
171.597060-150.004650,21.592410
171.864900-150.004650,21.860250
171.888530-150.004650,21.883880
172.164250-150.004650,22.159600
176.370870-150.004650,26.366220
177.922750-150.004650,27.918100
179.931530-150.004650,29.926880
180.120590-150.004650,30.115940
180.152100-150.004650,30.147450
180.238760-150.004650,30.234110
186.800770-150.004650,36.796120
188.470810-150.004650,38.466160
188.557470-150.004650,38.552820
188.636240-150.004650,38.631590
190.487470-150.004650,40.482820
190.511100-150.004650,40.506450
195.103730-150.004650,45.099080
196.631970-150.004650,46.627320
196.758020-150.004650,46.753370
196.821040-150.004650,46.816390
196.836790-150.004650,46.832140
196.884060-150.004650,46.879410
202.941910-150.004650,52.937260
205.187010-150.004650,55.182360
205.202770-150.004650,55.198120
205.218520-150.004650,55.213870
205.242160-150.004650,55.237510
205.273670-150.004650,55.269020
205.352440-150.004650,55.347790
207.117020-150.004650,57.112370
207.321830-150.004650,57.317180
207.353340-150.004650,57.348690
207.416360-150.004650,57.411710
211.544210-150.004650,61.539560
211.575720-150.004650,61.571070
211.717520-150.004650,61.712870
211.843560-150.004650,61.838910
211.922330-150.004650,61.917680
212.142910-150.004650,62.138260
212.158660-150.004650,62.154010
213.009440-150.004650,63.004790
213.789320-150.004650,63.784670
213.828710-150.004650,63.824060
213.852340-150.004650,63.847690
213.868090-150.004650,63.863440
213.891730-150.004650,63.887080
213.923240-150.004650,63.918590
213.954750-150.004650,63.950100
213.970500-150.004650,63.965850
213.986260-150.004650,63.981610
214.002010-150.004650,63.997360
214.198950-150.004650,64.194300
216.325890-150.004650,66.321240
218.287410-150.004650,68.282760
218.303160-150.004650,68.298510
219.602960-150.004650,69.598310
221.509330-150.004650,71.504680
221.627500-150.004650,71.622850
221.651130-150.004650,71.646480
221.674760-150.004650,71.670110
221.698400-150.004650,71.693750
221.722030-150.004650,71.717380
221.737780-150.004650,71.733130
221.761420-150.004650,71.756770
221.792930-150.004650,71.788280
221.934720-150.004650,71.930070
222.013500-150.004650,72.008850
223.407830-150.004650,73.403180
223.431460-150.004650,73.426810
223.494480-150.004650,73.489830
223.518110-150.004650,73.513460
223.533870-150.004650,73.529220
223.557500-150.004650,73.552850
223.573260-150.004650,73.568610
223.596890-150.004650,73.592240
223.628400-150.004650,73.623750
223.675670-150.004650,73.671020
223.730810-150.004650,73.726160
223.746560-150.004650,73.741910
227.086650-150.004650,77.082000
227.110280-150.004650,77.105630
228.930000-150.004650,78.925350
228.961510-150.004650,78.956860
229.040290-150.004650,79.035640
229.079680-150.004650,79.075030
229.095430-150.004650,79.090780
229.126940-150.004650,79.122290
229.182090-150.004650,79.177440
229.205720-150.004650,79.201070
229.229350-150.004650,79.224700
229.245110-150.004650,79.240460
229.379020-150.004650,79.374370
231.025440-150.004650,81.020790
231.049070-150.004650,81.044420
231.080580-150.004650,81.075930
231.104210-150.004650,81.099560
231.119970-150.004650,81.115320
231.143600-150.004650,81.138950
231.182990-150.004650,81.178340
231.206620-150.004650,81.201970
231.222380-150.004650,81.217730
231.246010-150.004650,81.241360
231.269640-150.004650,81.264990
231.316910-150.004650,81.312260
231.332660-150.004650,81.328010
231.348420-150.004650,81.343770
231.372050-150.004650,81.367400
235.594430-150.004650,85.589780
235.775610-150.004650,85.770960
235.799240-150.004650,85.794590
236.019810-150.004650,86.015160
239.123580-150.004650,89.118930
239.139330-150.004650,89.134680
239.162960-150.004650,89.158310
239.194470-150.004650,89.189820
239.233860-150.004650,89.229210
239.257490-150.004650,89.252840
239.281130-150.004650,89.276480
239.304760-150.004650,89.300110
239.336270-150.004650,89.331620
239.359900-150.004650,89.355250
239.383540-150.004650,89.378890
