Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
19041,150.00465000,391.67349000,11623
19159,150.93420000,248.25560000,11505
19239,151.56441000,236.38204000,11425
19308,152.10796000,301.09831000,11356
19356,152.48608000,252.69286000,11308
19406,152.87996000,234.94089000,11258
19440,153.14780000,286.35795000,11224
19559,154.08523000,236.21095000,11105
19629,154.63666000,304.75689000,11035
19703,155.21960000,272.85350000,10961
20299,159.91463000,253.02029000,10365
20323,160.10369000,249.04377000,10341
20685,162.95537000,301.54300000,9979
20690,162.99476000,297.53806000,9974
20994,165.38954000,272.20395000,9670
21412,168.68236000,295.59157000,9252
21685,170.83294000,248.49032000,8979
21742,171.28196000,310.52609000,8922
21782,171.59706000,237.32324000,8882
21816,171.86490000,338.06880000,8848
21819,171.88853000,414.77007000,8845
21854,172.16425000,283.43833000,8810
22388,176.37087000,251.83607000,8276
22585,177.92275000,257.70585000,8079
22840,179.93153000,246.27345000,7824
22864,180.12059000,273.21119000,7800
22868,180.15210000,310.61090000,7796
22879,180.23876000,262.75805000,7785
23712,186.80077000,367.93558000,6952
23924,188.47081000,292.15522000,6740
23935,188.55747000,320.05170000,6729
23945,188.63624000,235.98060000,6719
24180,190.48747000,308.61324000,6484
24183,190.51110000,267.09262000,6481
24766,195.10373000,353.32806000,5898
24960,196.63197000,264.57778000,5704
24976,196.75802000,1065.10410000,5688
24984,196.82104000,437.26647000,5680
24986,196.83679000,402.49093000,5678
24992,196.88406000,254.81953000,5672
25761,202.94191000,250.78032000,4903
26046,205.18701000,490.41655000,4618
26048,205.20277000,276.24451000,4616
26050,205.21852000,303.85476000,4614
26053,205.24216000,668.37557000,4611
26057,205.27367000,845.20513000,4607
26067,205.35244000,322.96132000,4597
26291,207.11702000,356.77879000,4373
26317,207.32183000,522.48956000,4347
26321,207.35334000,866.85048000,4343
26329,207.41636000,237.20432000,4335
26853,211.54421000,256.42771000,3811
26857,211.57572000,249.93299000,3807
26875,211.71752000,409.01625000,3789
26891,211.84356000,604.13777000,3773
26901,211.92233000,412.38395000,3763
26929,212.14291000,330.91857000,3735
26931,212.15866000,243.41914000,3733
27039,213.00944000,253.37337000,3625
27138,213.78932000,306.55761000,3526
27143,213.82871000,303.13389000,3521
27146,213.85234000,452.74847000,3518
27148,213.86809000,2149.77830000,3516
27151,213.89173000,1294.90600000,3513
27155,213.92324000,646.83346000,3509
27159,213.95475000,290.54072000,3505
27161,213.97050000,481.37134000,3503
27163,213.98626000,449.49680000,3501
27165,214.00201000,483.92424000,3499
27190,214.19895000,288.96553000,3474
27460,216.32589000,237.66054000,3204
27709,218.28741000,267.42848000,2955
27711,218.30316000,342.76440000,2953
27876,219.60296000,272.81547000,2788
28118,221.50933000,264.69879000,2546
28133,221.62750000,820.69790000,2531
28136,221.65113000,654.43681000,2528
28139,221.67476000,1483.43950000,2525
28142,221.69840000,3002.42200000,2522
28145,221.72203000,445.07462000,2519
28147,221.73778000,375.27971000,2517
28150,221.76142000,309.60683000,2514
28154,221.79293000,302.47024000,2510
28172,221.93472000,288.30576000,2492
28182,222.01350000,250.62359000,2482
28359,223.40783000,314.87345000,2305
28362,223.43146000,247.37626000,2302
28370,223.49448000,353.54440000,2294
28373,223.51811000,658.38908000,2291
28375,223.53387000,1840.77920000,2289
28378,223.55750000,523.35106000,2286
28380,223.57326000,2211.78790000,2284
28383,223.59689000,1112.20890000,2281
28387,223.62840000,340.11279000,2277
28393,223.67567000,675.06557000,2271
28400,223.73081000,354.84360000,2264
28402,223.74656000,287.83160000,2262
28826,227.08665000,375.55006000,1838
28829,227.11028000,463.05457000,1835
29060,228.93000000,540.14026000,1604
29064,228.96151000,486.70614000,1600
29074,229.04029000,512.97686000,1590
29079,229.07968000,449.08877000,1585
29081,229.09543000,384.29062000,1583
29085,229.12694000,505.74355000,1579
29092,229.18209000,372.59188000,1572
29095,229.20572000,469.62137000,1569
29098,229.22935000,349.85401000,1566
29100,229.24511000,323.27936000,1564
29117,229.37902000,321.34309000,1547
29326,231.02544000,235.31237000,1338
29329,231.04907000,320.61432000,1335
29333,231.08058000,322.80284000,1331
29336,231.10421000,612.37547000,1328
29338,231.11997000,497.52010000,1326
29341,231.14360000,1717.01770000,1323
29346,231.18299000,2112.18370000,1318
29349,231.20662000,2953.71540000,1315
29351,231.22238000,1627.71200000,1313
29354,231.24601000,581.02828000,1310
29357,231.26964000,275.82788000,1307
29363,231.31691000,400.41892000,1301
29365,231.33266000,670.88780000,1299
29367,231.34842000,275.24917000,1297
29370,231.37205000,271.25649000,1294
29906,235.59443000,276.85310000,758
29929,235.77561000,365.42209000,735
29932,235.79924000,328.50737000,732
29960,236.01981000,267.81492000,704
30354,239.12358000,309.77473000,310
30356,239.13933000,296.00852000,308
30359,239.16296000,417.94250000,305
30363,239.19447000,483.65021000,301
30368,239.23386000,686.79056000,296
30371,239.25749000,812.82888000,293
30374,239.28113000,516.69725000,290
30377,239.30476000,2701.23120000,287
30381,239.33627000,4350.42310000,283
30384,239.35990000,2288.38450000,280
30387,239.38354000,1971.05620000,277
30393,239.43080000,2171.49530000,271
30396,239.45443000,662.99232000,268
30398,239.47019000,345.11826000,266
