Pair,Delta (microHz)
121.826590-121.700550,0.126040
122.039280-121.700550,0.338730
124.552230-121.700550,2.851680
125.221820-121.700550,3.521270
125.710230-121.700550,4.009680
125.796880-121.700550,4.096330
126.466480-121.700550,4.765930
126.482230-121.700550,4.781680
127.600850-121.700550,5.900300
128.357090-121.700550,6.656540
128.372850-121.700550,6.672300
128.396480-121.700550,6.695930
128.420110-121.700550,6.719560
128.695830-121.700550,6.995280
128.719460-121.700550,7.018910
129.136970-121.700550,7.436420
131.279670-121.700550,9.579120
135.037270-121.700550,13.336720
135.060900-121.700550,13.360350
135.494170-121.700550,13.793620
136.037720-121.700550,14.337170
136.455230-121.700550,14.754680
141.685940-121.700550,19.985390
141.725330-121.700550,20.024780
141.796220-121.700550,20.095670
141.819860-121.700550,20.119310
141.843490-121.700550,20.142940
141.867120-121.700550,20.166570
142.134960-121.700550,20.434410
145.829540-121.700550,24.128990
147.672890-121.700550,25.972340
147.704400-121.700550,26.003850
147.806810-121.700550,26.106260
148.011620-121.700550,26.311070
148.027380-121.700550,26.326830
148.066770-121.700550,26.366220
148.082520-121.700550,26.381970
148.736360-121.700550,27.035810
148.759990-121.700550,27.059440
148.846650-121.700550,27.146100
149.035710-121.700550,27.335160
149.075100-121.700550,27.374550
149.106610-121.700550,27.406060
149.122360-121.700550,27.421810
149.209010-121.700550,27.508460
152.218250-121.700550,30.517700
153.171430-121.700550,31.470880
153.250210-121.700550,31.549660
153.265960-121.700550,31.565410
153.281720-121.700550,31.581170
153.313230-121.700550,31.612680
153.360490-121.700550,31.659940
153.502290-121.700550,31.801740
154.754820-121.700550,33.054270
154.802090-121.700550,33.101540
154.825720-121.700550,33.125170
154.857230-121.700550,33.156680
154.951760-121.700550,33.251210
154.967520-121.700550,33.266970
154.991150-121.700550,33.290600
155.022660-121.700550,33.322110
155.054170-121.700550,33.353620
155.085680-121.700550,33.385130
155.109310-121.700550,33.408760
155.180210-121.700550,33.479660
155.227480-121.700550,33.526930
158.433650-121.700550,36.733100
160.135200-121.700550,38.434650
160.363650-121.700550,38.663100
160.450300-121.700550,38.749750
160.466060-121.700550,38.765510
160.859940-121.700550,39.159390
160.875690-121.700550,39.175140
161.742230-121.700550,40.041680
161.828880-121.700550,40.128330
161.844630-121.700550,40.144080
161.899780-121.700550,40.199230
161.915530-121.700550,40.214980
161.947040-121.700550,40.246490
162.025820-121.700550,40.325270
162.041570-121.700550,40.341020
162.080960-121.700550,40.380410
162.120350-121.700550,40.419800
162.143980-121.700550,40.443430
162.230630-121.700550,40.530080
163.349250-121.700550,41.648700
163.569820-121.700550,41.869270
163.774640-121.700550,42.074090
166.003990-121.700550,44.303440
166.791750-121.700550,45.091200
166.815380-121.700550,45.114830
166.886280-121.700550,45.185730
166.941420-121.700550,45.240870
166.972930-121.700550,45.272380
167.020200-121.700550,45.319650
167.059580-121.700550,45.359030
167.091090-121.700550,45.390540
167.114730-121.700550,45.414180
167.130480-121.700550,45.429930
167.240770-121.700550,45.540220
167.256520-121.700550,45.555970
167.280160-121.700550,45.579610
168.367260-121.700550,46.666710
168.383020-121.700550,46.682470
168.556320-121.700550,46.855770
168.579950-121.700550,46.879400
168.595710-121.700550,46.895160
168.627220-121.700550,46.926670
168.650850-121.700550,46.950300
168.690240-121.700550,46.989690
168.706000-121.700550,47.005450
168.721750-121.700550,47.021200
168.745380-121.700550,47.044830
168.761140-121.700550,47.060590
168.776890-121.700550,47.076340
168.800530-121.700550,47.099980
168.816280-121.700550,47.115730
168.832040-121.700550,47.131490
168.863550-121.700550,47.163000
168.895060-121.700550,47.194510
169.013220-121.700550,47.312670
170.832940-121.700550,49.132390
172.833840-121.700550,51.133290
172.865350-121.700550,51.164800
173.093800-121.700550,51.393250
173.259230-121.700550,51.558680
173.282860-121.700550,51.582310
