Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
15448,121.70055000,466.89880000,7702
15464,121.82659000,413.01794000,7686
15491,122.03928000,403.66259000,7659
15810,124.55223000,432.82305000,7340
15895,125.22182000,456.49893000,7255
15957,125.71023000,385.80996000,7193
15968,125.79688000,434.49861000,7182
16053,126.46648000,494.53014000,7097
16055,126.48223000,526.69226000,7095
16197,127.60085000,470.69047000,6953
16293,128.35709000,492.47099000,6857
16295,128.37285000,776.45668000,6855
16298,128.39648000,500.09065000,6852
16301,128.42011000,530.02583000,6849
16336,128.69583000,493.82170000,6814
16339,128.71946000,447.29349000,6811
16392,129.13697000,457.96914000,6758
16664,131.27967000,528.47834000,6486
17141,135.03727000,651.51692000,6009
17144,135.06090000,661.82014000,6006
17199,135.49417000,768.23904000,5951
17268,136.03772000,522.87884000,5882
17321,136.45523000,934.90476000,5829
17985,141.68594000,522.01056000,5165
17990,141.72533000,563.01676000,5160
17999,141.79622000,642.35933000,5151
18002,141.81986000,625.20079000,5148
18005,141.84349000,481.40049000,5145
18008,141.86712000,505.96419000,5142
18042,142.13496000,454.31759000,5108
18511,145.82954000,410.79967000,4639
18745,147.67289000,492.05128000,4405
18749,147.70440000,882.05698000,4401
18762,147.80681000,413.56162000,4388
18788,148.01162000,1165.60910000,4362
18790,148.02738000,772.02822000,4360
18795,148.06677000,450.08462000,4355
18797,148.08252000,879.19235000,4353
18880,148.73636000,717.41916000,4270
18883,148.75999000,522.39174000,4267
18894,148.84665000,724.10900000,4256
18918,149.03571000,589.06135000,4232
18923,149.07510000,657.00269000,4227
18927,149.10661000,440.97444000,4223
18929,149.12236000,958.45344000,4221
18940,149.20901000,698.82170000,4210
19322,152.21825000,466.64792000,3828
19443,153.17143000,576.09687000,3707
19453,153.25021000,806.26008000,3697
19455,153.26596000,945.89380000,3695
19457,153.28172000,1023.67800000,3693
19461,153.31323000,532.07261000,3689
19467,153.36049000,622.38354000,3683
19485,153.50229000,445.26967000,3665
19644,154.75482000,605.38210000,3506
19650,154.80209000,638.27921000,3500
19653,154.82572000,405.67681000,3497
19657,154.85723000,455.91867000,3493
19669,154.95176000,1420.71980000,3481
19671,154.96752000,766.80998000,3479
19674,154.99115000,1109.49390000,3476
19678,155.02266000,1245.07000000,3472
19682,155.05417000,671.19100000,3468
19686,155.08568000,2407.00370000,3464
19689,155.10931000,985.24848000,3461
19698,155.18021000,595.82814000,3452
19704,155.22748000,940.99329000,3446
20111,158.43365000,1083.18000000,3039
20327,160.13520000,625.84320000,2823
20356,160.36365000,391.57129000,2794
20367,160.45030000,565.84854000,2783
20369,160.46606000,1127.88200000,2781
20419,160.85994000,945.35993000,2731
20421,160.87569000,484.34168000,2729
20531,161.74223000,386.32516000,2619
20542,161.82888000,998.97507000,2608
20544,161.84463000,741.36181000,2606
20551,161.89978000,711.01117000,2599
20553,161.91553000,889.68300000,2597
20557,161.94704000,611.11024000,2593
20567,162.02582000,456.47623000,2583
20569,162.04157000,1149.73300000,2581
20574,162.08096000,802.64267000,2576
20579,162.12035000,1568.41340000,2571
20582,162.14398000,1992.39030000,2568
20593,162.23063000,408.91728000,2557
20735,163.34925000,808.80567000,2415
20763,163.56982000,485.42912000,2387
20789,163.77464000,505.64863000,2361
21072,166.00399000,405.56166000,2078
21172,166.79175000,511.83785000,1978
21175,166.81538000,432.40788000,1975
21184,166.88628000,1154.71020000,1966
21191,166.94142000,861.03308000,1959
21195,166.97293000,1356.61070000,1955
21201,167.02020000,546.91949000,1949
21206,167.05958000,423.50202000,1944
21210,167.09109000,592.24126000,1940
21213,167.11473000,919.58367000,1937
21215,167.13048000,509.65587000,1935
21229,167.24077000,938.06889000,1921
21231,167.25652000,1774.00390000,1919
21234,167.28016000,1095.52580000,1916
21372,168.36726000,499.28730000,1778
21374,168.38302000,535.73332000,1776
21396,168.55632000,440.66857000,1754
21399,168.57995000,495.00956000,1751
21401,168.59571000,1442.87200000,1749
21405,168.62722000,1395.83320000,1745
21408,168.65085000,1915.35790000,1742
21413,168.69024000,1784.19260000,1737
21415,168.70600000,974.81951000,1735
21417,168.72175000,660.61950000,1733
21420,168.74538000,1308.29510000,1730
21422,168.76114000,3172.10310000,1728
21424,168.77689000,1048.26880000,1726
21427,168.80053000,841.72172000,1723
21429,168.81628000,506.28007000,1721
21431,168.83204000,1555.80980000,1719
21435,168.86355000,971.64848000,1715
21439,168.89506000,401.79063000,1711
21454,169.01322000,449.30643000,1696
21685,170.83294000,881.46721000,1465
21939,172.83384000,533.77495000,1211
21943,172.86535000,481.31735000,1207
21972,173.09380000,486.17592000,1178
21993,173.25923000,406.52744000,1157
21996,173.28286000,674.08161000,1154
21998,173.29862000,891.14263000,1152
22205,174.92927000,1041.07540000,945
22208,174.95291000,1654.95740000,942
22210,174.96866000,1405.82200000,940
22212,174.98442000,1635.51060000,938
22216,175.01593000,1486.29140000,934
22221,175.05532000,449.93045000,929
22225,175.08683000,581.65187000,925
22228,175.11046000,581.93682000,922
22243,175.22862000,937.73551000,907
22247,175.26013000,1240.44940000,903
22251,175.29164000,1576.85930000,899
22364,176.18181000,573.86106000,786
22366,176.19756000,404.94750000,784
22369,176.22120000,652.47794000,781
22377,176.28422000,2296.35890000,773
22379,176.29997000,2484.44730000,771
22384,176.33936000,531.84388000,766
22387,176.36299000,708.39630000,763
22391,176.39450000,603.02666000,759
22399,176.45752000,456.51753000,751
22416,176.59144000,1093.42620000,734
22419,176.61507000,1326.95470000,731
22421,176.63083000,1053.22290000,729
22423,176.64658000,3864.33340000,727
22728,179.04924000,927.16505000,422
22899,180.39631000,463.04122000,251
22922,180.57749000,1349.42590000,228
22927,180.61688000,766.14588000,223
22931,180.64839000,1555.05160000,219
22933,180.66414000,1415.33160000,217
22936,180.68778000,640.73000000,214
22939,180.71141000,1542.98110000,211
22943,180.74292000,426.01925000,207
22945,180.75867000,451.20802000,205
22948,180.78231000,455.82962000,202
22961,180.88472000,695.93234000,189
22970,180.95561000,574.25523000,180
22972,180.97137000,546.64855000,178
22975,180.99500000,2285.54000000,175
22977,181.01076000,646.12146000,173
22980,181.03439000,1038.66750000,170
22982,181.05014000,731.27114000,168
22988,181.09741000,410.75087000,162
23014,181.30223000,605.55784000,136
23134,182.24754000,401.57656000,16
23139,182.28692000,1361.29500000,11
23141,182.30268000,1391.93740000,9
23145,182.33419000,1283.37830000,5
23148,182.35782000,1642.16360000,2
23150,182.37358000,5024.79240000,0
23155,182.41296000,4676.86500000,5
23157,182.42872000,1362.20620000,7
23161,182.46023000,2828.77420000,11
23165,182.49174000,1272.34140000,15
23168,182.51537000,964.68428000,18
23170,182.53113000,844.62812000,20
23172,182.54688000,403.25610000,22
23175,182.57052000,938.31339000,25
23178,182.59415000,407.33034000,28
23180,182.60990000,870.50813000,30
23437,184.63444000,1170.02400000,287
23737,186.99771000,478.67665000,587
23739,187.01346000,913.42745000,589
23741,187.02922000,1544.21140000,591
23744,187.05285000,450.23871000,594
23787,187.39159000,442.90911000,637
23792,187.43097000,1573.00420000,642
23795,187.45461000,429.73471000,645
23797,187.47036000,465.43191000,647
23984,188.94347000,474.23791000,834
23987,188.96710000,1392.83820000,837
23990,188.99073000,552.65279000,840
23994,189.02224000,2479.85320000,844
23996,189.03800000,3737.42640000,846
23998,189.05375000,1766.60100000,848
24000,189.06951000,4744.64500000,850
24002,189.08526000,4397.93290000,852
24005,189.10890000,805.94028000,855
24010,189.14828000,684.02036000,860
24012,189.16404000,416.74161000,862
24016,189.19555000,1680.78320000,866
24019,189.21918000,2914.70800000,869
24024,189.25857000,2285.98600000,874
24028,189.29008000,1542.53820000,878
24033,189.32947000,505.31946000,883
24035,189.34522000,630.47693000,885
24214,190.75531000,585.25440000,1064
24219,190.79470000,645.60633000,1069
24231,190.88923000,404.67768000,1081
24266,191.16494000,1689.30630000,1116
24269,191.18857000,755.75082000,1119
24594,193.74878000,658.91109000,1444
24641,194.11903000,615.18060000,1491
24662,194.28446000,530.95543000,1512
24667,194.32385000,857.21435000,1517
24669,194.33960000,1568.06350000,1519
24672,194.36323000,905.48442000,1522
24678,194.41050000,411.23133000,1528
24681,194.43413000,1566.92890000,1531
24688,194.48928000,2712.97070000,1538
24691,194.51291000,1280.37900000,1541
24693,194.52866000,892.46131000,1543
24700,194.58381000,1192.70010000,1550
24702,194.59956000,489.01829000,1552
24705,194.62319000,825.93717000,1555
24707,194.63895000,793.29939000,1557
24763,195.08009000,474.55310000,1613
24854,195.79695000,523.86287000,1704
24859,195.83634000,471.58810000,1709
24864,195.87573000,748.21626000,1714
24867,195.89936000,1261.94230000,1717
24869,195.91512000,537.64820000,1719
24871,195.93087000,1167.69730000,1721
24874,195.95450000,2108.73500000,1724
24880,196.00177000,1893.25080000,1730
24883,196.02540000,937.07741000,1733
24885,196.04116000,1722.82000000,1735
24887,196.05691000,881.26990000,1737
24890,196.08054000,5020.26960000,1740
24894,196.11205000,660.42949000,1744
24896,196.12781000,638.85509000,1746
24899,196.15144000,1424.35980000,1749
24901,196.16720000,479.93606000,1751
24905,196.19871000,738.11987000,1755
24911,196.24597000,406.35550000,1761
24937,196.45079000,387.31015000,1787
25419,200.24778000,505.28442000,2269
25421,200.26353000,611.99323000,2271
25468,200.63378000,391.90850000,2318
25470,200.64953000,637.91774000,2320
25474,200.68104000,673.67757000,2324
25700,202.46137000,528.39509000,2550
25709,202.53227000,383.21113000,2559
25718,202.60317000,391.19776000,2568
25721,202.62680000,498.65838000,2571
25733,202.72133000,599.20971000,2583
25735,202.73709000,692.75019000,2585
25737,202.75284000,1281.26020000,2587
25740,202.77648000,1039.39710000,2590
25742,202.79223000,1323.56580000,2592
25746,202.82374000,637.63628000,2596
25749,202.84738000,670.96689000,2599
25755,202.89464000,1009.89970000,2605
25758,202.91827000,1747.90550000,2608
25761,202.94191000,981.24387000,2611
25763,202.95766000,816.88856000,2613
25768,202.99705000,534.13922000,2618
25963,204.53317000,690.71025000,2813
25968,204.57256000,647.22873000,2818
26011,204.91130000,488.44265000,2861
26013,204.92705000,626.63031000,2863
26015,204.94281000,577.04518000,2865
26404,208.00718000,464.91480000,3254
26422,208.14898000,570.30402000,3272
26425,208.17261000,510.63525000,3275
26443,208.31441000,1191.95510000,3293
26628,209.77176000,489.31895000,3478
26630,209.78751000,541.38861000,3480
26634,209.81902000,628.77622000,3484
26636,209.83478000,457.23941000,3486
26644,209.89780000,702.55882000,3494
26647,209.92143000,712.98875000,3497
26651,209.95294000,532.85385000,3501
