Pair,Delta (microHz)
101.215140-100.634930,0.580210
101.239310-100.634930,0.604380
101.263490-100.634930,0.628560
101.295720-100.634930,0.660790
101.319900-100.634930,0.684970
101.344080-100.634930,0.709150
101.368250-100.634930,0.733320
101.384370-100.634930,0.749440
101.440780-100.634930,0.805850
101.456900-100.634930,0.821970
101.585830-100.634930,0.950900
101.811470-100.634930,1.176540
101.988760-100.634930,1.353830
102.399740-100.634930,1.764810
102.536740-100.634930,1.901810
102.568970-100.634930,1.934040
102.593150-100.634930,1.958220
102.633440-100.634930,1.998510
102.665670-100.634930,2.030740
102.689850-100.634930,2.054920
102.714030-100.634930,2.079100
102.730140-100.634930,2.095210
102.746260-100.634930,2.111330
102.762380-100.634930,2.127450
102.778490-100.634930,2.143560
104.970410-100.634930,4.335480
105.800440-100.634930,5.165510
105.816560-100.634930,5.181630
106.654650-100.634930,6.019720
107.234860-100.634930,6.599930
107.307390-100.634930,6.672460
107.323510-100.634930,6.688580
107.339620-100.634930,6.704690
107.355740-100.634930,6.720810
107.371860-100.634930,6.736930
107.396030-100.634930,6.761100
107.444380-100.634930,6.809450
107.484680-100.634930,6.849750
107.541090-100.634930,6.906160
107.686140-100.634930,7.051210
107.750610-100.634930,7.115680
107.847310-100.634930,7.212380
107.887600-100.634930,7.252670
107.903720-100.634930,7.268790
107.919840-100.634930,7.284910
107.935950-100.634930,7.301020
107.952070-100.634930,7.317140
107.968190-100.634930,7.333260
108.016540-100.634930,7.381610
108.056830-100.634930,7.421900
108.459760-100.634930,7.824830
108.580640-100.634930,7.945710
108.612870-100.634930,7.977940
108.637050-100.634930,8.002120
109.475130-100.634930,8.840200
110.007000-100.634930,9.372070
111.135190-100.634930,10.500260
111.159370-100.634930,10.524440
111.183540-100.634930,10.548610
111.199660-100.634930,10.564730
111.223830-100.634930,10.588900
111.256070-100.634930,10.621140
111.272190-100.634930,10.637260
111.288300-100.634930,10.653370
111.320540-100.634930,10.685610
111.344710-100.634930,10.709780
111.376950-100.634930,10.742020
111.401120-100.634930,10.766190
111.417240-100.634930,10.782310
111.441410-100.634930,10.806480
111.457530-100.634930,10.822600
