Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
12488,100.63493000,713.50358000,2731
12560,101.21514000,1157.24130000,2659
12563,101.23931000,3574.61970000,2656
12566,101.26349000,1615.71370000,2653
12570,101.29572000,3557.36010000,2649
12573,101.31990000,1116.45270000,2646
12576,101.34408000,1475.19220000,2643
12579,101.36825000,1492.82410000,2640
12581,101.38437000,1180.52230000,2638
12588,101.44078000,1176.47390000,2631
12590,101.45690000,1096.74710000,2629
12606,101.58583000,1498.54580000,2613
12634,101.81147000,1426.93620000,2585
12656,101.98876000,677.61329000,2563
12707,102.39974000,1012.54460000,2512
12724,102.53674000,2942.40980000,2495
12728,102.56897000,5170.30790000,2491
12731,102.59315000,4043.18780000,2488
12736,102.63344000,2363.85850000,2483
12740,102.66567000,946.06731000,2479
12743,102.68985000,4326.07350000,2476
12746,102.71403000,2415.73130000,2473
12748,102.73014000,1171.62370000,2471
12750,102.74626000,2166.10580000,2469
12752,102.76238000,1034.61540000,2467
12754,102.77849000,1832.20140000,2465
13026,104.97041000,706.73333000,2193
13129,105.80044000,950.01062000,2090
13131,105.81656000,708.21060000,2088
13235,106.65465000,1568.46290000,1984
13307,107.23486000,896.28441000,1912
13316,107.30739000,792.34094000,1903
13318,107.32351000,952.39498000,1901
13320,107.33962000,918.92469000,1899
13322,107.35574000,2937.45480000,1897
13324,107.37186000,5721.01160000,1895
13327,107.39603000,3655.32300000,1892
13333,107.44438000,1477.21400000,1886
13338,107.48468000,643.66454000,1881
13345,107.54109000,720.59373000,1874
13363,107.68614000,652.62287000,1856
13371,107.75061000,809.04340000,1848
13383,107.84731000,824.16810000,1836
13388,107.88760000,1745.61410000,1831
13390,107.90372000,1221.08680000,1829
13392,107.91984000,4430.98730000,1827
13394,107.93595000,12328.45100000,1825
13396,107.95207000,1752.79950000,1823
13398,107.96819000,684.39668000,1821
13404,108.01654000,1403.10760000,1815
13409,108.05683000,1024.76240000,1810
13459,108.45976000,1028.33170000,1760
13474,108.58064000,921.03896000,1745
13478,108.61287000,6734.96290000,1741
13481,108.63705000,1638.44060000,1738
13585,109.47513000,1654.76740000,1634
13651,110.00700000,650.67935000,1568
13791,111.13519000,752.50796000,1428
13794,111.15937000,1146.24900000,1425
13797,111.18354000,721.29863000,1422
13799,111.19966000,1337.98050000,1420
13802,111.22383000,1656.58030000,1417
13806,111.25607000,2014.17930000,1413
13808,111.27219000,805.70934000,1411
13810,111.28830000,857.66945000,1409
13814,111.32054000,4030.68540000,1405
13817,111.34471000,2735.84070000,1402
13821,111.37695000,5569.00720000,1398
13824,111.40112000,5633.12400000,1395
13826,111.41724000,4699.55860000,1393
13829,111.44141000,886.02479000,1390
13831,111.45753000,679.37477000,1388
13833,111.47365000,800.66520000,1386
13839,111.52200000,893.29104000,1380
13841,111.53812000,907.18947000,1378
13843,111.55423000,1419.36140000,1376
13846,111.57841000,705.07895000,1373
13857,111.66705000,1198.92130000,1362
13880,111.85240000,862.89784000,1339
13902,112.02969000,1540.23350000,1317
13905,112.05386000,717.36147000,1314
13931,112.26338000,1215.08150000,1288
13943,112.36009000,682.35731000,1276
13945,112.37620000,804.80257000,1274
