Pair,Delta (microHz)
25.357891-25.263360,0.094531
25.397279-25.263360,0.133919
25.452422-25.263360,0.189062
25.523320-25.263360,0.259960
25.617851-25.263360,0.354491
25.743892-25.263360,0.480532
25.767525-25.263360,0.504165
25.806913-25.263360,0.543553
25.877811-25.263360,0.614451
25.893566-25.263360,0.630206
25.948709-25.263360,0.685349
25.995974-25.263360,0.732614
26.035362-25.263360,0.772002
26.051117-25.263360,0.787757
26.066872-25.263360,0.803512
26.114138-25.263360,0.850778
26.137771-25.263360,0.874411
26.177158-25.263360,0.913798
26.192914-25.263360,0.929554
26.248056-25.263360,0.984696
26.578914-25.263360,1.315554
27.043691-25.263360,1.780331
27.083079-25.263360,1.819719
27.114589-25.263360,1.851229
27.161854-25.263360,1.898494
27.201242-25.263360,1.937882
27.232752-25.263360,1.969392
27.264263-25.263360,2.000903
27.287895-25.263360,2.024535
27.303651-25.263360,2.040291
27.319406-25.263360,2.056046
27.343038-25.263360,2.079678
27.358794-25.263360,2.095434
27.382426-25.263360,2.119066
27.437569-25.263360,2.174209
27.476957-25.263360,2.213597
27.508467-25.263360,2.245107
27.602998-25.263360,2.339638
27.618753-25.263360,2.355393
27.642386-25.263360,2.379026
27.658141-25.263360,2.394781
27.768427-25.263360,2.505067
27.799937-25.263360,2.536577
27.831448-25.263360,2.568088
27.862958-25.263360,2.599598
27.878713-25.263360,2.615353
27.894468-25.263360,2.631108
27.910223-25.263360,2.646863
27.933856-25.263360,2.670496
27.957489-25.263360,2.694129
27.981121-25.263360,2.717761
28.004754-25.263360,2.741394
28.020509-25.263360,2.757149
28.036264-25.263360,2.772904
28.052020-25.263360,2.788660
28.075652-25.263360,2.812292
28.193816-25.263360,2.930456
28.430143-25.263360,3.166783
29.265165-25.263360,4.001805
29.304553-25.263360,4.041193
29.438472-25.263360,4.175112
29.454227-25.263360,4.190867
29.469982-25.263360,4.206622
29.501492-25.263360,4.238132
29.643288-25.263360,4.379928
29.682676-25.263360,4.419316
29.745697-25.263360,4.482337
29.792962-25.263360,4.529602
29.832350-25.263360,4.568990
29.911126-25.263360,4.647766
29.934758-25.263360,4.671398
29.982024-25.263360,4.718664
29.997779-25.263360,4.734419
30.013534-25.263360,4.750174
30.029289-25.263360,4.765929
30.076555-25.263360,4.813195
30.100187-25.263360,4.836827
30.115942-25.263360,4.852582
30.139575-25.263360,4.876215
30.155330-25.263360,4.891970
30.178963-25.263360,4.915603
30.202596-25.263360,4.939236
30.249861-25.263360,4.986501
30.281371-25.263360,5.018011
30.297126-25.263360,5.033766
30.320759-25.263360,5.057399
30.352269-25.263360,5.088909
30.375902-25.263360,5.112542
30.391657-25.263360,5.128297
30.454678-25.263360,5.191318
30.501943-25.263360,5.238583
30.533453-25.263360,5.270093
30.549209-25.263360,5.285849
30.596474-25.263360,5.333114
30.627984-25.263360,5.364624
30.911577-25.263360,5.648217
30.935209-25.263360,5.671849
30.982475-25.263360,5.719115
31.037618-25.263360,5.774258
31.108516-25.263360,5.845156
31.195169-25.263360,5.931809
31.226679-25.263360,5.963319
31.266067-25.263360,6.002707
31.289700-25.263360,6.026340
31.336965-25.263360,6.073605
31.360598-25.263360,6.097238
31.384231-25.263360,6.120871
31.399986-25.263360,6.136626
31.415741-25.263360,6.152381
31.470884-25.263360,6.207524
31.533905-25.263360,6.270545
31.565415-25.263360,6.302055
31.589048-25.263360,6.325688
31.636313-25.263360,6.372953
31.707211-25.263360,6.443851
31.722966-25.263360,6.459606
31.738721-25.263360,6.475361
31.762354-25.263360,6.498994
31.793864-25.263360,6.530504
31.833252-25.263360,6.569892
31.849007-25.263360,6.585647
31.888395-25.263360,6.625035
31.912028-25.263360,6.648668
31.943538-25.263360,6.680178
31.990804-25.263360,6.727444
32.022314-25.263360,6.758954
32.053824-25.263360,6.790464
32.069579-25.263360,6.806219
32.093212-25.263360,6.829852
32.132600-25.263360,6.869240
32.148355-25.263360,6.884995
32.187743-25.263360,6.924383
32.235008-25.263360,6.971648
32.290151-25.263360,7.026791
32.313784-25.263360,7.050424
32.447702-25.263360,7.184342
32.494968-25.263360,7.231608
32.526478-25.263360,7.263118
32.557988-25.263360,7.294628
32.573744-25.263360,7.310384
32.715540-25.263360,7.452180
33.345745-25.263360,8.082385
33.377256-25.263360,8.113896
33.416643-25.263360,8.153283
33.456031-25.263360,8.192671
33.582072-25.263360,8.318712
33.660848-25.263360,8.397488
33.708113-25.263360,8.444753
33.723868-25.263360,8.460508
33.747501-25.263360,8.484141
33.771134-25.263360,8.507774
33.786889-25.263360,8.523529
33.842032-25.263360,8.578672
33.857787-25.263360,8.594427
33.873542-25.263360,8.610182
33.897175-25.263360,8.633815
33.920808-25.263360,8.657448
33.936563-25.263360,8.673203
33.968073-25.263360,8.704713
34.007461-25.263360,8.744101
34.031094-25.263360,8.767734
34.070481-25.263360,8.807121
34.101992-25.263360,8.838632
34.117747-25.263360,8.854387
34.141380-25.263360,8.878020
34.157135-25.263360,8.893775
34.204400-25.263360,8.941040
34.228033-25.263360,8.964673
34.259543-25.263360,8.996183
34.275298-25.263360,9.011938
34.306809-25.263360,9.043449
34.330441-25.263360,9.067081
34.354074-25.263360,9.090714
34.401339-25.263360,9.137979
34.417094-25.263360,9.153734
34.456482-25.263360,9.193122
34.480115-25.263360,9.216755
34.495870-25.263360,9.232510
34.535258-25.263360,9.271898
34.606156-25.263360,9.342796
34.645544-25.263360,9.382184
35.055177-25.263360,9.791817
35.133953-25.263360,9.870593
35.157586-25.263360,9.894226
35.212729-25.263360,9.949369
35.228484-25.263360,9.965124
35.259994-25.263360,9.996634
35.291505-25.263360,10.028145
35.330892-25.263360,10.067532
35.354525-25.263360,10.091165
35.370280-25.263360,10.106920
35.393913-25.263360,10.130553
35.417546-25.263360,10.154186
35.433301-25.263360,10.169941
35.480566-25.263360,10.217206
35.519954-25.263360,10.256594
35.535709-25.263360,10.272349
35.575097-25.263360,10.311737
35.606607-25.263360,10.343247
35.638118-25.263360,10.374758
35.685383-25.263360,10.422023
35.740526-25.263360,10.477166
35.795669-25.263360,10.532309
35.819302-25.263360,10.555942
35.890200-25.263360,10.626840
35.921710-25.263360,10.658350
35.937465-25.263360,10.674105
35.953220-25.263360,10.689860
35.992608-25.263360,10.729248
36.016241-25.263360,10.752881
36.031996-25.263360,10.768636
36.047751-25.263360,10.784391
36.063506-25.263360,10.800146
36.079261-25.263360,10.815901
36.095016-25.263360,10.831656
36.118649-25.263360,10.855289
36.142282-25.263360,10.878922
36.173792-25.263360,10.910432
36.197425-25.263360,10.934065
36.228935-25.263360,10.965575
36.252568-25.263360,10.989208
36.268323-25.263360,11.004963
36.323466-25.263360,11.060106
36.394364-25.263360,11.131004
37.914735-25.263360,12.651375
37.977755-25.263360,12.714395
38.040776-25.263360,12.777416
38.064408-25.263360,12.801048
38.111674-25.263360,12.848314
38.158939-25.263360,12.895579
38.190450-25.263360,12.927090
38.206205-25.263360,12.942845
38.245593-25.263360,12.982233
38.269225-25.263360,13.005865
38.308613-25.263360,13.045253
38.324368-25.263360,13.061008
38.340123-25.263360,13.076763
38.355878-25.263360,13.092518
38.379511-25.263360,13.116151
38.395266-25.263360,13.131906
38.426777-25.263360,13.163417
38.466164-25.263360,13.202804
38.497675-25.263360,13.234315
38.615838-25.263360,13.352478
38.631593-25.263360,13.368233
38.663104-25.263360,13.399744
38.718247-25.263360,13.454887
38.773390-25.263360,13.510030
38.875798-25.263360,13.612438
38.899431-25.263360,13.636071
38.970329-25.263360,13.706969
39.238166-25.263360,13.974806
39.324819-25.263360,14.061459
39.348452-25.263360,14.085092
39.450860-25.263360,14.187500
39.608412-25.263360,14.345052
39.671432-25.263360,14.408072
39.718698-25.263360,14.455338
39.742330-25.263360,14.478970
39.797473-25.263360,14.534113
39.836861-25.263360,14.573501
39.923514-25.263360,14.660154
39.986535-25.263360,14.723175
40.025923-25.263360,14.762563
40.041678-25.263360,14.778318
40.057433-25.263360,14.794073
40.112576-25.263360,14.849216
40.128331-25.263360,14.864971
40.183474-25.263360,14.920114
40.230740-25.263360,14.967380
40.254372-25.263360,14.991012
40.270127-25.263360,15.006767
40.301638-25.263360,15.038278
40.348903-25.263360,15.085543
40.388291-25.263360,15.124931
40.419801-25.263360,15.156441
40.435556-25.263360,15.172196
40.608863-25.263360,15.345503
40.750659-25.263360,15.487299
42.302540-25.263360,17.039180
42.349805-25.263360,17.086445
42.365561-25.263360,17.102201
42.404948-25.263360,17.141588
42.444336-25.263360,17.180976
42.460091-25.263360,17.196731
42.491602-25.263360,17.228242
42.562500-25.263360,17.299140
42.586132-25.263360,17.322772
42.814582-25.263360,17.551222
42.861847-25.263360,17.598487
43.050909-25.263360,17.787549
43.838666-25.263360,18.575306
43.996217-25.263360,18.732857
44.130136-25.263360,18.866776
44.145891-25.263360,18.882531
44.169524-25.263360,18.906164
44.248299-25.263360,18.984939
44.516137-25.263360,19.252777
46.776999-25.263360,21.513639
25.397279-25.357891,0.039388
25.452422-25.357891,0.094531
25.523320-25.357891,0.165429
25.617851-25.357891,0.259960
25.743892-25.357891,0.386001
25.767525-25.357891,0.409634
25.806913-25.357891,0.449022
25.877811-25.357891,0.519920
25.893566-25.357891,0.535675
25.948709-25.357891,0.590818
25.995974-25.357891,0.638083
26.035362-25.357891,0.677471
26.051117-25.357891,0.693226
26.066872-25.357891,0.708981
26.114138-25.357891,0.756247
26.137771-25.357891,0.779880
26.177158-25.357891,0.819267
26.192914-25.357891,0.835023
26.248056-25.357891,0.890165
26.578914-25.357891,1.221023
27.043691-25.357891,1.685800
27.083079-25.357891,1.725188
27.114589-25.357891,1.756698
27.161854-25.357891,1.803963
27.201242-25.357891,1.843351
27.232752-25.357891,1.874861
27.264263-25.357891,1.906372
27.287895-25.357891,1.930004
27.303651-25.357891,1.945760
27.319406-25.357891,1.961515
27.343038-25.357891,1.985147
27.358794-25.357891,2.000903
27.382426-25.357891,2.024535
27.437569-25.357891,2.079678
27.476957-25.357891,2.119066
27.508467-25.357891,2.150576
27.602998-25.357891,2.245107
27.618753-25.357891,2.260862
27.642386-25.357891,2.284495
27.658141-25.357891,2.300250
27.768427-25.357891,2.410536
27.799937-25.357891,2.442046
27.831448-25.357891,2.473557
27.862958-25.357891,2.505067
27.878713-25.357891,2.520822
27.894468-25.357891,2.536577
27.910223-25.357891,2.552332
27.933856-25.357891,2.575965
27.957489-25.357891,2.599598
27.981121-25.357891,2.623230
28.004754-25.357891,2.646863
28.020509-25.357891,2.662618
28.036264-25.357891,2.678373
28.052020-25.357891,2.694129
28.075652-25.357891,2.717761
28.193816-25.357891,2.835925
28.430143-25.357891,3.072252
29.265165-25.357891,3.907274
29.304553-25.357891,3.946662
29.438472-25.357891,4.080581
29.454227-25.357891,4.096336
29.469982-25.357891,4.112091
29.501492-25.357891,4.143601
29.643288-25.357891,4.285397
29.682676-25.357891,4.324785
29.745697-25.357891,4.387806
29.792962-25.357891,4.435071
29.832350-25.357891,4.474459
29.911126-25.357891,4.553235
29.934758-25.357891,4.576867
29.982024-25.357891,4.624133
29.997779-25.357891,4.639888
30.013534-25.357891,4.655643
30.029289-25.357891,4.671398
30.076555-25.357891,4.718664
30.100187-25.357891,4.742296
30.115942-25.357891,4.758051
30.139575-25.357891,4.781684
30.155330-25.357891,4.797439
30.178963-25.357891,4.821072
30.202596-25.357891,4.844705
30.249861-25.357891,4.891970
30.281371-25.357891,4.923480
30.297126-25.357891,4.939235
30.320759-25.357891,4.962868
30.352269-25.357891,4.994378
30.375902-25.357891,5.018011
30.391657-25.357891,5.033766
30.454678-25.357891,5.096787
30.501943-25.357891,5.144052
30.533453-25.357891,5.175562
30.549209-25.357891,5.191318
30.596474-25.357891,5.238583
30.627984-25.357891,5.270093
30.911577-25.357891,5.553686
30.935209-25.357891,5.577318
30.982475-25.357891,5.624584
31.037618-25.357891,5.679727
31.108516-25.357891,5.750625
31.195169-25.357891,5.837278
31.226679-25.357891,5.868788
31.266067-25.357891,5.908176
31.289700-25.357891,5.931809
31.336965-25.357891,5.979074
31.360598-25.357891,6.002707
31.384231-25.357891,6.026340
31.399986-25.357891,6.042095
31.415741-25.357891,6.057850
31.470884-25.357891,6.112993
31.533905-25.357891,6.176014
31.565415-25.357891,6.207524
31.589048-25.357891,6.231157
31.636313-25.357891,6.278422
31.707211-25.357891,6.349320
31.722966-25.357891,6.365075
31.738721-25.357891,6.380830
31.762354-25.357891,6.404463
31.793864-25.357891,6.435973
31.833252-25.357891,6.475361
31.849007-25.357891,6.491116
31.888395-25.357891,6.530504
31.912028-25.357891,6.554137
31.943538-25.357891,6.585647
31.990804-25.357891,6.632913
32.022314-25.357891,6.664423
32.053824-25.357891,6.695933
32.069579-25.357891,6.711688
32.093212-25.357891,6.735321
32.132600-25.357891,6.774709
32.148355-25.357891,6.790464
32.187743-25.357891,6.829852
32.235008-25.357891,6.877117
32.290151-25.357891,6.932260
32.313784-25.357891,6.955893
32.447702-25.357891,7.089811
32.494968-25.357891,7.137077
32.526478-25.357891,7.168587
32.557988-25.357891,7.200097
32.573744-25.357891,7.215853
32.715540-25.357891,7.357649
33.345745-25.357891,7.987854
33.377256-25.357891,8.019365
33.416643-25.357891,8.058752
33.456031-25.357891,8.098140
33.582072-25.357891,8.224181
33.660848-25.357891,8.302957
33.708113-25.357891,8.350222
33.723868-25.357891,8.365977
33.747501-25.357891,8.389610
33.771134-25.357891,8.413243
33.786889-25.357891,8.428998
33.842032-25.357891,8.484141
33.857787-25.357891,8.499896
33.873542-25.357891,8.515651
33.897175-25.357891,8.539284
33.920808-25.357891,8.562917
33.936563-25.357891,8.578672
33.968073-25.357891,8.610182
34.007461-25.357891,8.649570
34.031094-25.357891,8.673203
34.070481-25.357891,8.712590
34.101992-25.357891,8.744101
34.117747-25.357891,8.759856
34.141380-25.357891,8.783489
34.157135-25.357891,8.799244
34.204400-25.357891,8.846509
34.228033-25.357891,8.870142
34.259543-25.357891,8.901652
34.275298-25.357891,8.917407
34.306809-25.357891,8.948918
34.330441-25.357891,8.972550
34.354074-25.357891,8.996183
34.401339-25.357891,9.043448
34.417094-25.357891,9.059203
34.456482-25.357891,9.098591
34.480115-25.357891,9.122224
34.495870-25.357891,9.137979
34.535258-25.357891,9.177367
34.606156-25.357891,9.248265
34.645544-25.357891,9.287653
35.055177-25.357891,9.697286
35.133953-25.357891,9.776062
35.157586-25.357891,9.799695
35.212729-25.357891,9.854838
35.228484-25.357891,9.870593
35.259994-25.357891,9.902103
35.291505-25.357891,9.933614
35.330892-25.357891,9.973001
35.354525-25.357891,9.996634
35.370280-25.357891,10.012389
35.393913-25.357891,10.036022
35.417546-25.357891,10.059655
35.433301-25.357891,10.075410
35.480566-25.357891,10.122675
35.519954-25.357891,10.162063
35.535709-25.357891,10.177818
35.575097-25.357891,10.217206
35.606607-25.357891,10.248716
35.638118-25.357891,10.280227
35.685383-25.357891,10.327492
35.740526-25.357891,10.382635
35.795669-25.357891,10.437778
35.819302-25.357891,10.461411
35.890200-25.357891,10.532309
35.921710-25.357891,10.563819
35.937465-25.357891,10.579574
35.953220-25.357891,10.595329
35.992608-25.357891,10.634717
36.016241-25.357891,10.658350
36.031996-25.357891,10.674105
36.047751-25.357891,10.689860
36.063506-25.357891,10.705615
36.079261-25.357891,10.721370
36.095016-25.357891,10.737125
36.118649-25.357891,10.760758
36.142282-25.357891,10.784391
36.173792-25.357891,10.815901
36.197425-25.357891,10.839534
36.228935-25.357891,10.871044
36.252568-25.357891,10.894677
36.268323-25.357891,10.910432
36.323466-25.357891,10.965575
36.394364-25.357891,11.036473
37.914735-25.357891,12.556844
37.977755-25.357891,12.619864
38.040776-25.357891,12.682885
38.064408-25.357891,12.706517
38.111674-25.357891,12.753783
38.158939-25.357891,12.801048
38.190450-25.357891,12.832559
38.206205-25.357891,12.848314
38.245593-25.357891,12.887702
38.269225-25.357891,12.911334
38.308613-25.357891,12.950722
38.324368-25.357891,12.966477
38.340123-25.357891,12.982232
38.355878-25.357891,12.997987
38.379511-25.357891,13.021620
38.395266-25.357891,13.037375
38.426777-25.357891,13.068886
38.466164-25.357891,13.108273
38.497675-25.357891,13.139784
38.615838-25.357891,13.257947
38.631593-25.357891,13.273702
38.663104-25.357891,13.305213
38.718247-25.357891,13.360356
38.773390-25.357891,13.415499
38.875798-25.357891,13.517907
38.899431-25.357891,13.541540
38.970329-25.357891,13.612438
39.238166-25.357891,13.880275
39.324819-25.357891,13.966928
39.348452-25.357891,13.990561
39.450860-25.357891,14.092969
39.608412-25.357891,14.250521
39.671432-25.357891,14.313541
39.718698-25.357891,14.360807
39.742330-25.357891,14.384439
39.797473-25.357891,14.439582
39.836861-25.357891,14.478970
39.923514-25.357891,14.565623
39.986535-25.357891,14.628644
40.025923-25.357891,14.668032
40.041678-25.357891,14.683787
40.057433-25.357891,14.699542
40.112576-25.357891,14.754685
40.128331-25.357891,14.770440
40.183474-25.357891,14.825583
40.230740-25.357891,14.872849
40.254372-25.357891,14.896481
40.270127-25.357891,14.912236
40.301638-25.357891,14.943747
40.348903-25.357891,14.991012
40.388291-25.357891,15.030400
40.419801-25.357891,15.061910
40.435556-25.357891,15.077665
40.608863-25.357891,15.250972
40.750659-25.357891,15.392768
42.302540-25.357891,16.944649
42.349805-25.357891,16.991914
42.365561-25.357891,17.007670
42.404948-25.357891,17.047057
42.444336-25.357891,17.086445
42.460091-25.357891,17.102200
42.491602-25.357891,17.133711
42.562500-25.357891,17.204609
42.586132-25.357891,17.228241
42.814582-25.357891,17.456691
42.861847-25.357891,17.503956
43.050909-25.357891,17.693018
43.838666-25.357891,18.480775
43.996217-25.357891,18.638326
44.130136-25.357891,18.772245
44.145891-25.357891,18.788000
44.169524-25.357891,18.811633
44.248299-25.357891,18.890408
44.516137-25.357891,19.158246
46.776999-25.357891,21.419108
25.452422-25.397279,0.055143
25.523320-25.397279,0.126041
25.617851-25.397279,0.220572
