Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
3206,25.26336000,3943.65680000,854
3218,25.35789100,4175.80670000,842
3223,25.39727900,7943.84170000,837
3230,25.45242200,4943.16520000,830
3239,25.52332000,4024.55160000,821
3251,25.61785100,6363.23350000,809
3267,25.74389200,3880.54760000,793
3270,25.76752500,5182.53510000,790
3275,25.80691300,8310.44660000,785
3284,25.87781100,7626.06620000,776
3286,25.89356600,4255.34210000,774
3293,25.94870900,4012.64970000,767
3299,25.99597400,6586.64150000,761
3304,26.03536200,15154.82800000,756
3306,26.05111700,7966.94110000,754
3308,26.06687200,5830.64310000,752
3314,26.11413800,6469.18950000,746
3317,26.13777100,6523.58930000,743
3322,26.17715800,12641.21600000,738
3324,26.19291400,8435.64230000,736
3331,26.24805600,4519.26000000,729
3373,26.57891400,5999.29450000,687
3432,27.04369100,4682.02120000,628
3437,27.08307900,10408.54900000,623
3441,27.11458900,5013.92480000,619
3447,27.16185400,15550.08600000,613
3452,27.20124200,6136.34600000,608
3456,27.23275200,38641.81000000,604
3460,27.26426300,8675.67880000,600
3463,27.28789500,30199.74200000,597
3465,27.30365100,25092.45900000,595
3467,27.31940600,19687.19400000,593
3470,27.34303800,20941.69900000,590
3472,27.35879400,20206.51100000,588
3475,27.38242600,11574.82100000,585
3482,27.43756900,12149.05200000,578
3487,27.47695700,3946.24730000,573
3491,27.50846700,4089.26690000,569
3503,27.60299800,4268.35180000,557
3505,27.61875300,9862.25080000,555
3508,27.64238600,6474.96690000,552
3510,27.65814100,3803.77700000,550
3524,27.76842700,3853.97160000,536
3528,27.79993700,20677.30600000,532
3532,27.83144800,14535.42200000,528
3536,27.86295800,15834.28900000,524
3538,27.87871300,18118.80800000,522
3540,27.89446800,39403.48200000,520
3542,27.91022300,18025.65900000,518
3545,27.93385600,103964.01000000,515
3548,27.95748900,68320.10800000,512
3551,27.98112100,107920.29000000,509
3554,28.00475400,33429.37000000,506
3556,28.02050900,29184.06600000,504
3558,28.03626400,7604.81260000,502
3560,28.05202000,12087.36400000,500
3563,28.07565200,7606.97780000,497
3578,28.19381600,7237.62220000,482
3608,28.43014300,9557.68940000,452
3714,29.26516500,4265.28800000,346
3719,29.30455300,4655.78220000,341
3736,29.43847200,5787.92860000,324
3738,29.45422700,5922.18040000,322
3740,29.46998200,4720.87560000,320
3744,29.50149200,3965.88830000,316
3762,29.64328800,4135.46070000,298
3767,29.68267600,11885.06500000,293
3775,29.74569700,8982.02100000,285
3781,29.79296200,6752.74210000,279
3786,29.83235000,11954.17800000,274
3796,29.91112600,7903.86690000,264
3799,29.93475800,4684.93930000,261
3805,29.98202400,7869.05760000,255
3807,29.99777900,4010.13170000,253
3809,30.01353400,7606.73890000,251
3811,30.02928900,19060.19800000,249
3817,30.07655500,12685.77900000,243
3820,30.10018700,15649.61600000,240
3822,30.11594200,16819.17400000,238
3825,30.13957500,3755.83500000,235
3827,30.15533000,10673.90900000,233
3830,30.17896300,7435.76440000,230
3833,30.20259600,25441.67700000,227
3839,30.24986100,41961.06700000,221
3843,30.28137100,5552.11330000,217
3845,30.29712600,18993.08000000,215
3848,30.32075900,9754.43460000,212
3852,30.35226900,6080.40080000,208
3855,30.37590200,8885.76170000,205
3857,30.39165700,4447.98750000,203
3865,30.45467800,4514.76940000,195
3871,30.50194300,7039.07540000,189
3875,30.53345300,6924.53950000,185
3877,30.54920900,5281.31320000,183
3883,30.59647400,6327.28960000,177
3887,30.62798400,4037.45410000,173
3923,30.91157700,4105.19590000,137
3926,30.93520900,6673.87830000,134
3932,30.98247500,4253.36650000,128
3939,31.03761800,4607.30150000,121
3948,31.10851600,5329.84810000,112
3959,31.19516900,4339.85590000,101
3963,31.22667900,5522.61900000,97
3968,31.26606700,3916.37550000,92
3971,31.28970000,10935.73700000,89
3977,31.33696500,16424.03300000,83
3980,31.36059800,116023.03000000,80
3983,31.38423100,10926.01200000,77
3985,31.39998600,44579.76500000,75
3987,31.41574100,65189.78000000,73
3994,31.47088400,18389.77500000,66
4002,31.53390500,4582.55580000,58
4006,31.56541500,5190.72520000,54
4009,31.58904800,3756.21430000,51
4015,31.63631300,3802.14640000,45
4024,31.70721100,6351.85190000,36
4026,31.72296600,16753.23900000,34
4028,31.73872100,25301.84300000,32
4031,31.76235400,10267.46000000,29
4035,31.79386400,12981.13600000,25
4040,31.83325200,19712.29900000,20
4042,31.84900700,5811.62650000,18
4047,31.88839500,8267.86420000,13
4050,31.91202800,10277.22800000,10
4054,31.94353800,112149.72000000,6
4060,31.99080400,192781.19000000,0
4064,32.02231400,172399.56000000,4
4068,32.05382400,21716.39000000,8
4070,32.06957900,24635.42000000,10
4073,32.09321200,55821.66300000,13
4078,32.13260000,14310.80500000,18
4080,32.14835500,14563.90600000,20
4085,32.18774300,7468.75220000,25
4091,32.23500800,6948.12500000,31
4098,32.29015100,6871.28780000,38
4101,32.31378400,5817.44780000,41
4118,32.44770200,4125.51770000,58
4124,32.49496800,7202.73700000,64
4128,32.52647800,3745.97960000,68
4132,32.55798800,10405.50000000,72
4134,32.57374400,4413.64210000,74
4152,32.71554000,6160.72790000,92
4232,33.34574500,3753.86060000,172
4236,33.37725600,4478.83270000,176
4241,33.41664300,4755.08690000,181
4246,33.45603100,4343.63110000,186
4262,33.58207200,6043.01260000,202
4272,33.66084800,4539.73200000,212
4278,33.70811300,4208.85880000,218
4280,33.72386800,4173.65630000,220
4283,33.74750100,8473.28740000,223
4286,33.77113400,3746.18970000,226
4288,33.78688900,13094.38000000,228
4295,33.84203200,6836.34600000,235
4297,33.85778700,18636.02400000,237
4299,33.87354200,10924.46300000,239
4302,33.89717500,12094.59300000,242
4305,33.92080800,5627.32230000,245
4307,33.93656300,5092.01340000,247
4311,33.96807300,17530.48200000,251
4316,34.00746100,3856.16960000,256
4319,34.03109400,21828.47900000,259
4324,34.07048100,18024.73600000,264
4328,34.10199200,14413.01900000,268
4330,34.11774700,10180.23900000,270
4333,34.14138000,96438.78900000,273
4335,34.15713500,6223.86580000,275
4341,34.20440000,7905.15180000,281
4344,34.22803300,11222.00500000,284
4348,34.25954300,12933.96200000,288
4350,34.27529800,20278.61200000,290
4354,34.30680900,10701.77600000,294
4357,34.33044100,29704.80700000,297
4360,34.35407400,5986.34200000,300
4366,34.40133900,11402.29300000,306
4368,34.41709400,4420.55230000,308
4373,34.45648200,12687.26300000,313
4376,34.48011500,5651.28440000,316
4378,34.49587000,5001.35050000,318
4383,34.53525800,3805.16610000,323
4392,34.60615600,3935.11820000,332
4397,34.64554400,4112.48830000,337
4449,35.05517700,4687.71430000,389
4459,35.13395300,5676.09430000,399
4462,35.15758600,8269.64060000,402
4469,35.21272900,15217.23400000,409
4471,35.22848400,4539.60430000,411
4475,35.25999400,11067.02700000,415
4479,35.29150500,10619.89200000,419
4484,35.33089200,9956.58270000,424
4487,35.35452500,9300.42730000,427
4489,35.37028000,9132.77560000,429
4492,35.39391300,3926.94090000,432
4495,35.41754600,12707.68300000,435
4497,35.43330100,24183.77600000,437
4503,35.48056600,13986.99000000,443
4508,35.51995400,7186.72630000,448
4510,35.53570900,10203.49600000,450
4515,35.57509700,9960.12800000,455
4519,35.60660700,5282.67800000,459
4523,35.63811800,13105.05400000,463
4529,35.68538300,15620.16700000,469
4536,35.74052600,4575.45810000,476
4543,35.79566900,3869.84790000,483
4546,35.81930200,5821.59630000,486
4555,35.89020000,3858.84780000,495
4559,35.92171000,5589.53380000,499
4561,35.93746500,8272.36540000,501
4563,35.95322000,25187.23000000,503
4568,35.99260800,11627.38800000,508
4571,36.01624100,18399.69200000,511
4573,36.03199600,76243.80600000,513
4575,36.04775100,6050.40790000,515
4577,36.06350600,7027.68100000,517
4579,36.07926100,12841.50600000,519
4581,36.09501600,42670.56900000,521
4584,36.11864900,33443.22100000,524
4587,36.14228200,10726.82700000,527
4591,36.17379200,10897.73300000,531
4594,36.19742500,4873.30110000,534
4598,36.22893500,29056.17700000,538
4601,36.25256800,8718.02200000,541
4603,36.26832300,8588.39510000,543
4610,36.32346600,4374.54950000,550
4619,36.39436400,5226.69080000,559
4812,37.91473500,4868.62250000,752
4820,37.97775500,5186.26800000,760
4828,38.04077600,4362.83220000,768
4831,38.06440800,4770.13040000,771
4837,38.11167400,9085.40850000,777
4843,38.15893900,7271.35180000,783
4847,38.19045000,7290.35120000,787
4849,38.20620500,10472.28300000,789
4854,38.24559300,6900.33850000,794
4857,38.26922500,4509.47620000,797
4862,38.30861300,8904.20360000,802
4864,38.32436800,8613.82010000,804
4866,38.34012300,7380.12560000,806
4868,38.35587800,3942.96150000,808
4871,38.37951100,13499.81100000,811
4873,38.39526600,12668.64800000,813
4877,38.42677700,11384.62800000,817
4882,38.46616400,21340.38800000,822
4886,38.49767500,12661.69000000,826
4901,38.61583800,5228.46040000,841
4903,38.63159300,3964.89380000,843
4907,38.66310400,11090.11100000,847
4914,38.71824700,4743.43460000,854
4921,38.77339000,4207.85290000,861
4934,38.87579800,4288.92860000,874
4937,38.89943100,4626.76160000,877
4946,38.97032900,4082.96300000,886
4980,39.23816600,5994.42080000,920
4991,39.32481900,3886.91250000,931
4994,39.34845200,5592.58290000,934
5007,39.45086000,3770.81420000,947
5027,39.60841200,8245.00280000,967
5035,39.67143200,12340.33100000,975
5041,39.71869800,7079.94660000,981
5044,39.74233000,14266.26600000,984
5051,39.79747300,7175.89950000,991
5056,39.83686100,8109.94030000,996
5067,39.92351400,4020.48090000,1007
5075,39.98653500,4829.19590000,1015
5080,40.02592300,6125.12950000,1020
5082,40.04167800,5867.87580000,1022
5084,40.05743300,5846.79000000,1024
5091,40.11257600,5242.64740000,1031
5093,40.12833100,5795.39340000,1033
5100,40.18347400,4147.23160000,1040
5106,40.23074000,4519.88920000,1046
5109,40.25437200,16687.35200000,1049
5111,40.27012700,8147.35800000,1051
5115,40.30163800,4015.65740000,1055
5121,40.34890300,12218.81300000,1061
5126,40.38829100,9648.13380000,1066
5130,40.41980100,8774.73180000,1070
5132,40.43555600,4040.42240000,1072
5154,40.60886300,4205.45620000,1094
5172,40.75065900,3765.56290000,1112
5369,42.30254000,5085.86580000,1309
5375,42.34980500,4097.94810000,1315
5377,42.36556100,5205.03240000,1317
5382,42.40494800,4016.05810000,1322
5387,42.44433600,5321.31740000,1327
5389,42.46009100,5892.13260000,1329
5393,42.49160200,3942.06300000,1333
5402,42.56250000,6117.74190000,1342
5405,42.58613200,4375.31840000,1345
5434,42.81458200,8244.58880000,1374
5440,42.86184700,3966.93530000,1380
5464,43.05090900,5273.04960000,1404
5564,43.83866600,3901.31700000,1504
5584,43.99621700,4349.67370000,1524
5601,44.13013600,4034.09030000,1541
5603,44.14589100,8187.31630000,1543
5606,44.16952400,3885.92670000,1546
5616,44.24829900,8053.12660000,1556
5650,44.51613700,4248.43040000,1590
5937,46.77699900,4120.96000000,1877
