Pair,Delta (mHz)
1.001620-1.000004,0.001616
1.005587-1.000004,0.005582
1.006028-1.000004,0.006023
1.012051-1.000004,0.012047
1.019249-1.000004,0.019245
1.023510-1.000004,0.023505
1.025273-1.000004,0.025268
1.028798-1.000004,0.028794
1.035850-1.000004,0.035846
1.039670-1.000004,0.039665
1.043636-1.000004,0.043632
1.044958-1.000004,0.044954
1.052744-1.000004,0.052740
1.054948-1.000004,0.054944
1.056858-1.000004,0.056854
1.057739-1.000004,0.057735
1.061118-1.000004,0.061114
1.061559-1.000004,0.061554
1.063615-1.000004,0.063611
1.072136-1.000004,0.072132
1.074928-1.000004,0.074923
1.077278-1.000004,0.077274
1.078306-1.000004,0.078302
1.083742-1.000004,0.083738
1.085211-1.000004,0.085207
1.086239-1.000004,0.086235
1.090353-1.000004,0.090348
1.096523-1.000004,0.096519
1.098873-1.000004,0.098869
1.104456-1.000004,0.104452
1.112242-1.000004,0.112238
1.115033-1.000004,0.115029
1.119000-1.000004,0.118996
1.120763-1.000004,0.120758
1.121204-1.000004,0.121199
1.121644-1.000004,0.121640
1.126051-1.000004,0.126047
1.131487-1.000004,0.131483
1.131781-1.000004,0.131777
1.136335-1.000004,0.136331
1.141183-1.000004,0.141179
1.143093-1.000004,0.143089
1.147500-1.000004,0.147496
1.157049-1.000004,0.157045
1.167920-1.000004,0.167916
1.171593-1.000004,0.171589
1.177616-1.000004,0.177612
1.178351-1.000004,0.178347
1.179085-1.000004,0.179081
1.190691-1.000004,0.190687
1.204647-1.000004,0.204643
1.206704-1.000004,0.206700
1.208320-1.000004,0.208316
1.214490-1.000004,0.214486
1.218751-1.000004,0.218746
1.219926-1.000004,0.219922
1.220660-1.000004,0.220656
1.221542-1.000004,0.221538
1.228006-1.000004,0.228001
1.228300-1.000004,0.228295
1.241521-1.000004,0.241517
1.245341-1.000004,0.245337
1.249454-1.000004,0.249450
1.255184-1.000004,0.255180
1.255918-1.000004,0.255914
1.256212-1.000004,0.256208
1.256653-1.000004,0.256649
1.257241-1.000004,0.257236
1.258416-1.000004,0.258412
1.260032-1.000004,0.260028
1.260620-1.000004,0.260615
1.260913-1.000004,0.260909
1.261795-1.000004,0.261790
1.263558-1.000004,0.263553
1.265027-1.000004,0.265022
1.267671-1.000004,0.267667
1.273400-1.000004,0.273396
1.273988-1.000004,0.273984
1.274282-1.000004,0.274278
1.277955-1.000004,0.277950
1.278395-1.000004,0.278391
1.285153-1.000004,0.285149
1.293380-1.000004,0.293376
1.294115-1.000004,0.294110
1.294555-1.000004,0.294551
1.295731-1.000004,0.295726
1.302341-1.000004,0.302337
1.302782-1.000004,0.302778
1.309834-1.000004,0.309829
1.311303-1.000004,0.311298
