Index,Frequency (mHz),Amplitude (dB),Distance from central (samples)
6806,1.00000430,6.66523490,5160
6817,1.00162030,9.23513310,5149
6844,1.00558680,6.64412980,5122
6847,1.00602750,8.42530850,5119
6888,1.01205080,5.74092930,5078
6937,1.01924930,5.33134200,5029
6966,1.02350960,6.01792210,5000
6978,1.02527250,5.93581110,4988
7002,1.02879830,5.37421290,4964
7050,1.03584990,12.24389400,4916
7076,1.03966950,6.36301510,4890
7103,1.04363600,7.77622710,4863
7112,1.04495820,7.28783320,4854
7165,1.05274430,9.13753290,4801
7180,1.05494800,8.92369490,4786
7193,1.05685780,5.12750690,4773
7199,1.05773920,8.01363080,4767
7222,1.06111810,8.91468660,4744
7225,1.06155880,5.13808270,4741
7239,1.06361550,9.23128740,4727
7297,1.07213620,7.75284310,4669
7316,1.07492750,7.57112570,4650
7332,1.07727800,7.57206130,4634
7339,1.07830640,6.81977600,4627
7376,1.08374200,5.36519510,4590
7386,1.08521100,9.32816710,4580
7393,1.08623940,7.13006040,4573
7421,1.09035280,6.50747090,4545
7463,1.09652300,6.87766290,4503
7479,1.09887350,7.18946850,4487
7517,1.10445600,5.88865020,4449
7570,1.11224220,7.94084580,4396
7589,1.11503340,5.29715450,4377
7616,1.11899990,9.12226970,4350
7628,1.12076280,5.91810040,4338
7631,1.12120360,7.00878550,4335
7634,1.12164430,8.86341400,4332
7664,1.12605150,5.43628420,4302
7701,1.13148710,7.11406660,4265
7703,1.13178100,7.53040580,4263
7734,1.13633510,5.31788620,4232
7767,1.14118310,9.68672720,4199
7780,1.14309290,7.16122170,4186
7810,1.14750010,5.48481180,4156
7875,1.15704920,6.54070640,4091
7949,1.16792040,5.82016010,4017
7974,1.17159310,9.40493450,3992
8015,1.17761630,5.79279020,3951
8020,1.17835090,8.06624800,3946
8025,1.17908540,6.30145120,3941
8104,1.19069120,5.49363930,3862
8199,1.20464740,5.11908680,3767
8213,1.20670420,5.98131410,3753
8224,1.20832010,5.25581900,3742
8266,1.21449030,7.95215480,3700
8295,1.21875060,5.48215280,3671
8303,1.21992590,5.61263840,3663
8308,1.22066040,5.90765220,3658
8314,1.22154190,5.12401890,3652
8358,1.22800580,5.57142110,3608
8360,1.22829970,5.46763990,3606
8450,1.24152140,6.30367250,3516
8476,1.24534100,5.14760270,3490
8504,1.24945440,6.29077790,3462
8543,1.25518390,5.93228000,3423
8548,1.25591840,9.90813930,3418
8550,1.25621220,7.31056600,3416
8553,1.25665290,5.34279480,3413
8557,1.25724060,5.53280730,3409
8565,1.25841580,5.31089190,3401
8576,1.26003180,13.71465700,3390
8580,1.26061950,6.46780880,3386
8582,1.26091330,6.46573830,3384
8588,1.26179470,5.68076650,3378
8600,1.26355760,5.96984520,3366
8610,1.26502670,5.62672100,3356
8628,1.26767110,6.60077180,3338
8667,1.27340050,7.16609020,3299
8671,1.27398810,7.24259660,3295
8673,1.27428190,6.79707260,3293
8698,1.27795460,7.76662040,3268
8701,1.27839540,7.10956260,3265
8747,1.28515310,5.83162690,3219
8803,1.29338000,6.30123490,3163
8808,1.29411450,6.35684540,3158
8811,1.29455530,5.33985910,3155
8819,1.29573050,5.40268220,3147
8864,1.30234140,5.52466920,3102
8867,1.30278210,7.11741700,3099
8915,1.30983370,5.67298590,3051
8925,1.31130280,5.18146000,3041
8930,1.31203730,8.65773470,3036
8979,1.31923590,6.43628530,2987
9031,1.32687510,6.93435930,2935
9041,1.32834420,7.35056340,2925
9043,1.32863800,7.04814470,2923
9092,1.33583650,5.94517180,2874
9096,1.33642410,5.74934320,2870
9113,1.33892160,20.55229600,2853
9116,1.33936230,9.23138930,2850
9121,1.34009680,5.72446090,2845
9133,1.34185970,9.86829620,2833
9184,1.34935200,9.73688750,2782
9187,1.34979280,5.42633980,2779
9216,1.35405310,5.13871980,2750
9367,1.37623620,7.56874660,2599
9377,1.37770530,5.50736020,2589
9404,1.38167180,6.39116420,2562
9432,1.38578530,7.94222450,2534
9435,1.38622600,9.22743710,2531
9438,1.38666670,5.98523540,2528
9440,1.38696050,10.84523800,2526
9449,1.38828270,7.95938340,2517
