BinStart(mHz),BinEnd(mHz),BinCenter(mHz),Count
0.000000,0.030000,0.015000,0
0.030000,0.060000,0.045000,2
0.060000,0.090000,0.075000,44
0.090000,0.120000,0.105000,0
0.120000,0.150000,0.135000,46
0.150000,0.180000,0.165000,0
0.180000,0.210000,0.195000,43
0.210000,0.240000,0.225000,2
0.240000,0.270000,0.255000,13
0.270000,0.300000,0.285000,31
0.300000,0.330000,0.315000,3
0.330000,0.360000,0.345000,40
0.360000,0.390000,0.375000,0
0.390000,0.420000,0.405000,41
0.420000,0.450000,0.435000,1
0.450000,0.480000,0.465000,32
0.480000,0.510000,0.495000,9
0.510000,0.540000,0.525000,10
0.540000,0.570000,0.555000,30
0.570000,0.600000,0.585000,3
0.600000,0.630000,0.615000,36
0.630000,0.660000,0.645000,0
0.660000,0.690000,0.675000,36
0.690000,0.720000,0.705000,2
0.720000,0.750000,0.735000,24
0.750000,0.780000,0.765000,13
0.780000,0.810000,0.795000,11
0.810000,0.840000,0.825000,25
0.840000,0.870000,0.855000,3
0.870000,0.900000,0.885000,32
0.900000,0.930000,0.915000,0
0.930000,0.960000,0.945000,29
0.960000,0.990000,0.975000,5
0.990000,1.020000,1.005000,17
1.020000,1.050000,1.035000,16
1.050000,1.080000,1.065000,10
1.080000,1.110000,1.095000,22
1.110000,1.140000,1.125000,1
1.140000,1.170000,1.155000,29
1.170000,1.200000,1.185000,1
1.200000,1.230000,1.215000,23
1.230000,1.260000,1.245000,7
1.260000,1.290000,1.275000,15
1.290000,1.320000,1.305000,14
1.320000,1.350000,1.335000,7
1.350000,1.380000,1.365000,21
1.380000,1.410000,1.395000,0
1.410000,1.440000,1.425000,26
1.440000,1.470000,1.455000,1
1.470000,1.500000,1.485000,17
1.500000,1.530000,1.515000,9
1.530000,1.560000,1.545000,11
1.560000,1.590000,1.575000,14
1.590000,1.620000,1.605000,5
1.620000,1.650000,1.635000,19
1.650000,1.680000,1.665000,0
1.680000,1.710000,1.695000,22
1.710000,1.740000,1.725000,1
1.740000,1.770000,1.755000,13
1.770000,1.800000,1.785000,9
1.800000,1.830000,1.815000,7
1.830000,1.860000,1.845000,14
1.860000,1.890000,1.875000,2
1.890000,1.920000,1.905000,18
1.920000,1.950000,1.935000,0
1.950000,1.980000,1.965000,17
1.980000,2.010000,1.995000,2
2.010000,2.040000,2.025000,10
2.040000,2.070000,2.055000,8
2.070000,2.100000,2.085000,5
2.100000,2.130000,2.115000,12
2.130000,2.160000,2.145000,0
2.160000,2.190000,2.175000,16
2.190000,2.220000,2.205000,0
2.220000,2.250000,2.235000,12
2.250000,2.280000,2.265000,3
2.280000,2.310000,2.295000,7
2.310000,2.340000,2.325000,7
2.340000,2.370000,2.355000,2
2.370000,2.400000,2.385000,11
2.400000,2.430000,2.415000,0
2.430000,2.460000,2.445000,12
2.460000,2.490000,2.475000,0
2.490000,2.520000,2.505000,10
2.520000,2.550000,2.535000,1
2.550000,2.580000,2.565000,5
2.580000,2.610000,2.595000,5
2.610000,2.640000,2.625000,0
2.640000,2.670000,2.655000,9
2.670000,2.700000,2.685000,0
2.700000,2.730000,2.715000,8
2.730000,2.760000,2.745000,0
2.760000,2.790000,2.775000,6
2.790000,2.820000,2.805000,1
2.820000,2.850000,2.835000,2
2.850000,2.880000,2.865000,4
2.880000,2.910000,2.895000,0
2.910000,2.940000,2.925000,5
2.940000,2.970000,2.955000,0
2.970000,3.000000,2.985000,4
3.000000,3.030000,3.015000,0
3.030000,3.060000,3.045000,2
3.060000,3.090000,3.075000,1
3.090000,3.120000,3.105000,0
3.120000,3.150000,3.135000,2
3.150000,3.180000,3.165000,0
3.180000,3.210000,3.195000,1
3.210000,3.240000,3.225000,0
3.240000,3.270000,3.255000,1
