Pair,Delta (mHz)
1.934052-1.800537,0.133514
2.004242-1.800537,0.203705
2.071381-1.800537,0.270844
2.133179-1.800537,0.332642
2.207184-1.800537,0.406647
2.266693-1.800537,0.466156
2.340698-1.800537,0.540161
2.402496-1.800537,0.601959
2.476501-1.800537,0.675964
2.536011-1.800537,0.735474
2.609253-1.800537,0.808716
2.669525-1.800537,0.868988
2.742767-1.800537,0.942230
2.805328-1.800537,1.004791
2.877808-1.800537,1.077271
2.942657-1.800537,1.142120
3.012848-1.800537,1.212311
3.075409-1.800537,1.274872
3.147125-1.800537,1.346588
3.214264-1.800537,1.413727
3.284454-1.800537,1.483917
3.345489-1.800537,1.544952
3.418732-1.800537,1.618195
3.482056-1.800537,1.681519
3.553772-1.800537,1.753235
3.618622-1.800537,1.818085
3.688812-1.800537,1.888275
3.755188-1.800537,1.954651
3.825378-1.800537,2.024841
3.892517-1.800537,2.091980
3.963470-1.800537,2.162933
4.029083-1.800537,2.228546
4.100800-1.800537,2.300262
4.167175-1.800537,2.366638
4.238892-1.800537,2.438354
4.300690-1.800537,2.500153
4.376221-1.800537,2.575684
4.444122-1.800537,2.643585
4.513550-1.800537,2.713013
4.580688-1.800537,2.780151
4.646301-1.800537,2.845764
4.722595-1.800537,2.922058
4.785156-1.800537,2.984619
4.851532-1.800537,3.050995
4.921722-1.800537,3.121185
4.993439-1.800537,3.192902
5.064392-1.800537,3.263855
2.004242-1.934052,0.070190
2.071381-1.934052,0.137329
2.133179-1.934052,0.199127
2.207184-1.934052,0.273132
2.266693-1.934052,0.332642
2.340698-1.934052,0.406647
2.402496-1.934052,0.468445
2.476501-1.934052,0.542450
2.536011-1.934052,0.601959
2.609253-1.934052,0.675201
2.669525-1.934052,0.735474
2.742767-1.934052,0.808716
2.805328-1.934052,0.871277
2.877808-1.934052,0.943756
2.942657-1.934052,1.008606
3.012848-1.934052,1.078796
3.075409-1.934052,1.141357
3.147125-1.934052,1.213074
3.214264-1.934052,1.280212
3.284454-1.934052,1.350403
3.345489-1.934052,1.411438
3.418732-1.934052,1.484680
3.482056-1.934052,1.548004
3.553772-1.934052,1.619720
3.618622-1.934052,1.684570
3.688812-1.934052,1.754761
3.755188-1.934052,1.821136
3.825378-1.934052,1.891327
3.892517-1.934052,1.958466
3.963470-1.934052,2.029419
4.029083-1.934052,2.095032
4.100800-1.934052,2.166748
4.167175-1.934052,2.233124
4.238892-1.934052,2.304840
4.300690-1.934052,2.366638
4.376221-1.934052,2.442169
4.444122-1.934052,2.510071
4.513550-1.934052,2.579498
4.580688-1.934052,2.646637
4.646301-1.934052,2.712250
4.722595-1.934052,2.788544
4.785156-1.934052,2.851105
4.851532-1.934052,2.917480
4.921722-1.934052,2.987671
4.993439-1.934052,3.059387
5.064392-1.934052,3.130341
2.071381-2.004242,0.067139
2.133179-2.004242,0.128937
2.207184-2.004242,0.202942
2.266693-2.004242,0.262451
2.340698-2.004242,0.336456
2.402496-2.004242,0.398254
2.476501-2.004242,0.472260
2.536011-2.004242,0.531769
2.609253-2.004242,0.605011
2.669525-2.004242,0.665283
2.742767-2.004242,0.738525
2.805328-2.004242,0.801086
2.877808-2.004242,0.873566
2.942657-2.004242,0.938416
3.012848-2.004242,1.008606
3.075409-2.004242,1.071167
3.147125-2.004242,1.142883
3.214264-2.004242,1.210022
3.284454-2.004242,1.280212
3.345489-2.004242,1.341248
3.418732-2.004242,1.414490
3.482056-2.004242,1.477814
3.553772-2.004242,1.549530
3.618622-2.004242,1.614380
3.688812-2.004242,1.684570
3.755188-2.004242,1.750946
3.825378-2.004242,1.821136
3.892517-2.004242,1.888275
3.963470-2.004242,1.959229
4.029083-2.004242,2.024841
4.100800-2.004242,2.096558
4.167175-2.004242,2.162933
4.238892-2.004242,2.234650
4.300690-2.004242,2.296448
4.376221-2.004242,2.371979
4.444122-2.004242,2.439880
4.513550-2.004242,2.509308
4.580688-2.004242,2.576447
4.646301-2.004242,2.642059
4.722595-2.004242,2.718353
4.785156-2.004242,2.780914
4.851532-2.004242,2.847290
4.921722-2.004242,2.917480
4.993439-2.004242,2.989197
5.064392-2.004242,3.060150
2.133179-2.071381,0.061798
2.207184-2.071381,0.135803
2.266693-2.071381,0.195312
2.340698-2.071381,0.269318
2.402496-2.071381,0.331116
2.476501-2.071381,0.405121
2.536011-2.071381,0.464630
2.609253-2.071381,0.537872
2.669525-2.071381,0.598145
2.742767-2.071381,0.671387
2.805328-2.071381,0.733948
2.877808-2.071381,0.806427
2.942657-2.071381,0.871277
3.012848-2.071381,0.941467
3.075409-2.071381,1.004028
3.147125-2.071381,1.075745
3.214264-2.071381,1.142883
3.284454-2.071381,1.213074
3.345489-2.071381,1.274109
3.418732-2.071381,1.347351
3.482056-2.071381,1.410675
3.553772-2.071381,1.482391
3.618622-2.071381,1.547241
3.688812-2.071381,1.617432
3.755188-2.071381,1.683807
3.825378-2.071381,1.753998
3.892517-2.071381,1.821136
3.963470-2.071381,1.892090
4.029083-2.071381,1.957703
4.100800-2.071381,2.029419
4.167175-2.071381,2.095795
4.238892-2.071381,2.167511
4.300690-2.071381,2.229309
4.376221-2.071381,2.304840
4.444122-2.071381,2.372742
4.513550-2.071381,2.442169
4.580688-2.071381,2.509308
4.646301-2.071381,2.574921
4.722595-2.071381,2.651215
4.785156-2.071381,2.713776
4.851532-2.071381,2.780151
4.921722-2.071381,2.850342
4.993439-2.071381,2.922058
5.064392-2.071381,2.993011
2.207184-2.133179,0.074005
2.266693-2.133179,0.133514
2.340698-2.133179,0.207520
2.402496-2.133179,0.269318
2.476501-2.133179,0.343323
2.536011-2.133179,0.402832
2.609253-2.133179,0.476074
2.669525-2.133179,0.536346
2.742767-2.133179,0.609589
2.805328-2.133179,0.672150
2.877808-2.133179,0.744629
2.942657-2.133179,0.809479
3.012848-2.133179,0.879669
3.075409-2.133179,0.942230
3.147125-2.133179,1.013947
3.214264-2.133179,1.081085
3.284454-2.133179,1.151276
3.345489-2.133179,1.212311
3.418732-2.133179,1.285553
3.482056-2.133179,1.348877
3.553772-2.133179,1.420593
3.618622-2.133179,1.485443
3.688812-2.133179,1.555634
3.755188-2.133179,1.622009
3.825378-2.133179,1.692200
3.892517-2.133179,1.759338
3.963470-2.133179,1.830292
4.029083-2.133179,1.895905
4.100800-2.133179,1.967621
4.167175-2.133179,2.033997
4.238892-2.133179,2.105713
4.300690-2.133179,2.167511
4.376221-2.133179,2.243042
4.444122-2.133179,2.310944
4.513550-2.133179,2.380371
4.580688-2.133179,2.447510
4.646301-2.133179,2.513123
4.722595-2.133179,2.589416
4.785156-2.133179,2.651978
4.851532-2.133179,2.718353
4.921722-2.133179,2.788544
4.993439-2.133179,2.860260
5.064392-2.133179,2.931213
2.266693-2.207184,0.059509
2.340698-2.207184,0.133514
2.402496-2.207184,0.195312
2.476501-2.207184,0.269318
2.536011-2.207184,0.328827
2.609253-2.207184,0.402069
2.669525-2.207184,0.462341
2.742767-2.207184,0.535583
2.805328-2.207184,0.598145
2.877808-2.207184,0.670624
2.942657-2.207184,0.735474
3.012848-2.207184,0.805664
3.075409-2.207184,0.868225
3.147125-2.207184,0.939941
3.214264-2.207184,1.007080
3.284454-2.207184,1.077271
3.345489-2.207184,1.138306
3.418732-2.207184,1.211548
3.482056-2.207184,1.274872
3.553772-2.207184,1.346588
3.618622-2.207184,1.411438
3.688812-2.207184,1.481628
3.755188-2.207184,1.548004
3.825378-2.207184,1.618195
3.892517-2.207184,1.685333
3.963470-2.207184,1.756287
4.029083-2.207184,1.821899
4.100800-2.207184,1.893616
4.167175-2.207184,1.959991
4.238892-2.207184,2.031708
4.300690-2.207184,2.093506
4.376221-2.207184,2.169037
4.444122-2.207184,2.236938
4.513550-2.207184,2.306366
4.580688-2.207184,2.373505
4.646301-2.207184,2.439117
4.722595-2.207184,2.515411
4.785156-2.207184,2.577972
4.851532-2.207184,2.644348
4.921722-2.207184,2.714539
4.993439-2.207184,2.786255
5.064392-2.207184,2.857208
2.340698-2.266693,0.074005
2.402496-2.266693,0.135803
2.476501-2.266693,0.209808
2.536011-2.266693,0.269318
2.609253-2.266693,0.342560
2.669525-2.266693,0.402832
2.742767-2.266693,0.476074
2.805328-2.266693,0.538635
2.877808-2.266693,0.611115
2.942657-2.266693,0.675964
3.012848-2.266693,0.746155
3.075409-2.266693,0.808716
3.147125-2.266693,0.880432
3.214264-2.266693,0.947571
3.284454-2.266693,1.017761
3.345489-2.266693,1.078796
3.418732-2.266693,1.152039
3.482056-2.266693,1.215363
3.553772-2.266693,1.287079
3.618622-2.266693,1.351929
3.688812-2.266693,1.422119
3.755188-2.266693,1.488495
3.825378-2.266693,1.558685
3.892517-2.266693,1.625824
3.963470-2.266693,1.696777
4.029083-2.266693,1.762390
4.100800-2.266693,1.834106
4.167175-2.266693,1.900482
4.238892-2.266693,1.972198
4.300690-2.266693,2.033997
4.376221-2.266693,2.109528
4.444122-2.266693,2.177429
4.513550-2.266693,2.246857
4.580688-2.266693,2.313995
4.646301-2.266693,2.379608
4.722595-2.266693,2.455902
4.785156-2.266693,2.518463
4.851532-2.266693,2.584839
4.921722-2.266693,2.655029
4.993439-2.266693,2.726746
5.064392-2.266693,2.797699
2.402496-2.340698,0.061798
2.476501-2.340698,0.135803
2.536011-2.340698,0.195312
2.609253-2.340698,0.268555
2.669525-2.340698,0.328827
2.742767-2.340698,0.402069
2.805328-2.340698,0.464630
2.877808-2.340698,0.537109
2.942657-2.340698,0.601959
3.012848-2.340698,0.672150
3.075409-2.340698,0.734711
3.147125-2.340698,0.806427
3.214264-2.340698,0.873566
3.284454-2.340698,0.943756
3.345489-2.340698,1.004791
3.418732-2.340698,1.078033
3.482056-2.340698,1.141357
3.553772-2.340698,1.213074
3.618622-2.340698,1.277924
3.688812-2.340698,1.348114
3.755188-2.340698,1.414490
3.825378-2.340698,1.484680
3.892517-2.340698,1.551819
3.963470-2.340698,1.622772
4.029083-2.340698,1.688385
4.100800-2.340698,1.760101
4.167175-2.340698,1.826477
4.238892-2.340698,1.898193
4.300690-2.340698,1.959991
4.376221-2.340698,2.035522
4.444122-2.340698,2.103424
4.513550-2.340698,2.172852
4.580688-2.340698,2.239990
4.646301-2.340698,2.305603
4.722595-2.340698,2.381897
4.785156-2.340698,2.444458
4.851532-2.340698,2.510834
4.921722-2.340698,2.581024
4.993439-2.340698,2.652740
5.064392-2.340698,2.723694
2.476501-2.402496,0.074005
2.536011-2.402496,0.133514
2.609253-2.402496,0.206757
2.669525-2.402496,0.267029
2.742767-2.402496,0.340271
2.805328-2.402496,0.402832
2.877808-2.402496,0.475311
2.942657-2.402496,0.540161
3.012848-2.402496,0.610352
3.075409-2.402496,0.672913
3.147125-2.402496,0.744629
3.214264-2.402496,0.811768
3.284454-2.402496,0.881958
3.345489-2.402496,0.942993
3.418732-2.402496,1.016235
3.482056-2.402496,1.079559
3.553772-2.402496,1.151276
3.618622-2.402496,1.216125
3.688812-2.402496,1.286316
3.755188-2.402496,1.352692
3.825378-2.402496,1.422882
3.892517-2.402496,1.490021
3.963470-2.402496,1.560974
4.029083-2.402496,1.626587
4.100800-2.402496,1.698303
4.167175-2.402496,1.764679
4.238892-2.402496,1.836395
4.300690-2.402496,1.898193
4.376221-2.402496,1.973724
4.444122-2.402496,2.041626
4.513550-2.402496,2.111053
