Index,Frequency (mHz),Amplitude (dB),Distance from central (samples)
328,1.80053711,-65.60025000,1765
503,1.93405151,-59.98341000,1590
595,2.00424194,-58.48040400,1498
683,2.07138062,-55.75579500,1410
764,2.13317871,-54.52999500,1329
861,2.20718384,-52.41257100,1232
939,2.26669312,-51.85046000,1154
1036,2.34069824,-49.61490600,1057
1117,2.40249634,-49.18972000,976
1214,2.47650146,-47.14688900,879
1292,2.53601074,-46.78392800,801
1388,2.60925293,-44.79985400,705
1467,2.66952515,-44.71957400,626
1563,2.74276733,-42.58272200,530
1645,2.80532837,-42.76991700,448
1740,2.87780762,-40.97424300,353
1825,2.94265747,-40.99856600,268
1917,3.01284790,-39.23846100,176
1999,3.07540894,-39.57156400,94
2093,3.14712524,-38.41453600,0
2181,3.21426392,-39.20436100,88
2273,3.28445435,-38.97854600,180
2353,3.34548950,-39.87258900,260
2449,3.41873169,-39.92766200,356
2532,3.48205566,-41.08850500,439
2626,3.55377197,-41.39336000,533
2711,3.61862183,-42.52199600,618
2803,3.68881226,-43.34080500,710
2890,3.75518799,-44.21014000,797
2982,3.82537842,-44.67384300,889
3070,3.89251709,-45.59510000,977
3163,3.96347046,-46.12341300,1070
3249,4.02908325,-47.24089800,1156
3343,4.10079956,-47.89879200,1250
3430,4.16717529,-48.59776300,1337
3524,4.23889160,-49.65153100,1431
3605,4.30068970,-50.09709900,1512
3704,4.37622070,-50.85931000,1611
3793,4.44412231,-51.55446200,1700
3884,4.51354980,-52.36569200,1791
3972,4.58068848,-52.99775300,1879
4058,4.64630127,-53.91820100,1965
4158,4.72259521,-54.84421200,2065
4240,4.78515625,-55.49614000,2147
4327,4.85153198,-56.29441100,2234
4419,4.92172241,-57.27521100,2326
4513,4.99343872,-58.26812400,2420
4606,5.06439209,-59.18074400,2513
